DAU 3 CH 2                                          
DATE        TIME      a         b         c         
04-Jun-2018 00:01:21  -0.003348 24.5276   -16.4361  
04-Jun-2018 12:01:34  -0.003345 24.5236   -16.3521  
05-Jun-2018 00:01:48  -0.003306 24.4454    -13.555  
05-Jun-2018 12:02:01  -0.003426 24.6415   -12.4396  
06-Jun-2018 00:02:15  -0.003452 24.6759   -13.7904  
06-Jun-2018 12:02:28  -0.003445 24.6513   -12.9603  
07-Jun-2018 00:02:42  -0.003462 24.6677   -11.1349  
07-Jun-2018 12:02:55  -0.003461  24.665   -10.9988  
08-Jun-2018 00:03:09  -0.003495 24.7253   -11.8697  
08-Jun-2018 12:03:22  -0.003479 24.6591   -14.0132  
12-Jun-2018 12:05:11  -0.003658 25.0753    -11.183  
13-Jun-2018 00:05:24  -0.003665 25.0859   -11.9194  
13-Jun-2018 12:05:38  -0.003661 25.0792   -11.5851  
14-Jun-2018 00:05:51  -0.003671 25.0682   -12.3338  
14-Jun-2018 12:06:05   -0.00372 25.1384   -14.3735  
15-Jun-2018 00:06:18  -0.003699 25.1087   -14.3517  
15-Jun-2018 12:06:32  -0.003472 24.7458    -16.066  
16-Jun-2018 00:06:45  -0.003283 24.4484   -13.2542  
16-Jun-2018 12:06:59   -0.00319 24.2709   -12.8494  
17-Jun-2018 00:07:12  -0.003026 24.0124    -11.434  
17-Jun-2018 12:07:26  -0.002898 23.8184   -10.8049  
18-Jun-2018 00:07:40  -0.002877 23.7776   -10.6667  
18-Jun-2018 12:07:53  -0.002868 23.7389   -11.1282  
19-Jun-2018 00:08:07  -0.002899 23.7659   -12.0827  
19-Jun-2018 12:08:20  -0.002855 23.7291   -11.4791  
20-Jun-2018 00:08:34  -0.002822 23.6557    -9.6883  
20-Jun-2018 12:08:47  -0.002821 23.6239   -8.80134  
21-Jun-2018 00:09:01  -0.002799 23.5849   -7.57997  
21-Jun-2018 12:09:14  -0.002893 23.7481   -11.1311  
22-Jun-2018 00:09:28  -0.002861 23.7008   -9.91732  
22-Jun-2018 12:09:41  -0.002879 23.7194   -10.8796  
23-Jun-2018 00:09:55  -0.002821 23.6442   -9.06182  
23-Jun-2018 12:10:08  -0.002884 23.7808     -11.67  
24-Jun-2018 00:10:22  -0.002897 23.8007   -12.2892  
24-Jun-2018 12:10:35  -0.002879 23.7805   -11.6644  
25-Jun-2018 00:10:49  -0.002895 23.8198   -11.2104  
25-Jun-2018 12:11:03  -0.002846 23.8049   -8.85295  
26-Jun-2018 00:11:16  -0.003011 24.0045    -12.393  
26-Jun-2018 12:11:30   -0.00302 24.0209   -12.1838  
27-Jun-2018 00:11:43  -0.003005 24.0014   -11.7663  
27-Jun-2018 12:11:57  -0.003011 24.0328   -12.4488  
28-Jun-2018 00:12:10  -0.002922 23.8767   -10.0154  
28-Jun-2018 12:12:24  -0.002908 23.8431   -9.47328  
29-Jun-2018 00:12:37  -0.002871 23.7994   -8.90815  
29-Jun-2018 12:12:51  -0.002838 23.7448   -7.72659  
30-Jun-2018 00:13:04  -0.002851 23.7484    -8.7301  
30-Jun-2018 12:13:18  -0.002852 23.7339   -8.78383  
01-Jul-2018 00:13:31  -0.002891  23.799   -10.9436  
01-Jul-2018 12:13:45  -0.002881 23.7864   -11.9815  
02-Jul-2018 00:13:58  -0.002887 23.7983   -14.3077  
02-Jul-2018 12:14:12  -0.002896 23.8084   -15.2596  
03-Jul-2018 00:14:25  -0.002924 23.8759   -17.5763  
03-Jul-2018 12:14:39  -0.002915 23.8548   -18.1567  
04-Jul-2018 00:14:53  -0.002918 23.8418   -17.8673  
04-Jul-2018 12:15:06  -0.002969 23.9252   -19.2775  
05-Jul-2018 00:15:20  -0.002946 23.8985   -16.1883  
05-Jul-2018 12:15:33  -0.003001 24.0005   -18.1581  
06-Jul-2018 00:15:47  -0.003017 24.0282   -17.0561  
06-Jul-2018 12:16:00  -0.002995 24.0236   -16.0202  
07-Jul-2018 00:16:14   -0.00299 24.0348   -16.2701  
07-Jul-2018 12:16:27  -0.003008 24.0683   -16.8089  
08-Jul-2018 00:16:41  -0.003067 24.1432   -18.2374  
08-Jul-2018 12:16:54  -0.003081 24.1683   -17.0747  
09-Jul-2018 00:17:08  -0.003172 24.3031   -15.8158  
09-Jul-2018 12:17:21  -0.003283 24.4537   -17.8969  
10-Jul-2018 00:17:35  -0.003342 24.5474   -17.6251  
10-Jul-2018 12:17:48  -0.003326 24.5199   -17.0371  
11-Jul-2018 00:18:02  -0.003301 24.4917   -16.4404  
11-Jul-2018 12:18:16  -0.003262 24.4258   -16.3573  
