DATE        TIME      a         b         c         
04-Jun-2018 00:01:21  -0.000773 19.8255    -1.08109 
04-Jun-2018 12:01:34  -0.000771 19.8222   -0.705337 
05-Jun-2018 00:01:48  -0.000716 19.7765     1.18665 
05-Jun-2018 12:02:01  -0.000736 19.7946     4.21487 
06-Jun-2018 00:02:15  -0.000792 19.8954     1.66802 
06-Jun-2018 12:02:28  -0.000827 19.9425     1.26009 
07-Jun-2018 00:02:42  -0.000831 19.9591     2.58107 
07-Jun-2018 12:02:55   -0.00083 19.9572     2.62832 
08-Jun-2018 00:03:09  -0.000871 20.0052     1.81883 
08-Jun-2018 12:03:22   -0.00093 20.1015    -1.57015 
12-Jun-2018 12:05:11  -0.000993 20.2336    0.754412 
13-Jun-2018 00:05:24   -0.00099 20.2294    0.591683 
13-Jun-2018 12:05:38   -0.00096 20.1734     2.34109 
14-Jun-2018 00:05:51  -0.000896 20.0605     6.73353 
14-Jun-2018 12:06:05  -0.000938 20.1301     6.24184 
15-Jun-2018 00:06:18  -0.000962 20.1713     5.39731 
15-Jun-2018 12:06:32  -0.000928 20.1165     11.4712 
16-Jun-2018 00:06:45  -0.001019 20.2543     9.15182 
16-Jun-2018 12:06:59  -0.001125 20.4455     5.53048 
17-Jun-2018 00:07:12  -0.001198 20.5719     3.33164 
17-Jun-2018 12:07:26  -0.001172 20.5322      4.8778 
18-Jun-2018 00:07:40  -0.001141 20.4805     5.53654 
18-Jun-2018 12:07:53  -0.001205 20.5568     4.29007 
19-Jun-2018 00:08:07    -0.0012 20.5562     3.90024 
19-Jun-2018 12:08:20  -0.001059 20.2952     9.46912 
20-Jun-2018 00:08:34  -0.001021 20.2444     10.0969 
20-Jun-2018 12:08:47  -0.001007 20.2264     9.48844 
21-Jun-2018 00:09:01  -0.001071 20.3369     6.60769 
21-Jun-2018 12:09:14  -0.000925 20.1103     12.6651 
22-Jun-2018 00:09:28  -0.000928 20.1303     13.3857 
22-Jun-2018 12:09:41  -0.001005 20.2839      10.503 
23-Jun-2018 00:09:55  -0.001025 20.2915     10.5318 
23-Jun-2018 12:10:08  -0.001261 20.6804      2.4822 
24-Jun-2018 00:10:22  -0.001253 20.6664     3.22503 
24-Jun-2018 12:10:35  -0.001332 20.8113    -1.10394 
25-Jun-2018 00:10:49  -0.001432 20.9595    -5.51219 
25-Jun-2018 12:11:03  -0.001401 20.9095    -3.68541 
26-Jun-2018 00:11:16  -0.001272 20.6965     1.89049 
26-Jun-2018 12:11:30  -0.001187 20.5569     5.87957 
27-Jun-2018 00:11:43  -0.001257 20.6599     2.58387 
27-Jun-2018 12:11:57  -0.001199 20.5625     5.14793 
28-Jun-2018 00:12:10  -0.001134 20.4584     6.47805 
28-Jun-2018 12:12:24  -0.001188 20.5497     3.85355 
29-Jun-2018 00:12:37  -0.001188 20.5655     1.65294 
29-Jun-2018 12:12:51  -0.001265    20.7    -3.54326 
30-Jun-2018 00:13:04    -0.0012 20.6222    -1.82512 
30-Jun-2018 12:13:18  -0.001261 20.7129     -4.7625 
01-Jul-2018 00:13:31  -0.001281 20.7588    -5.89622 
01-Jul-2018 12:13:45  -0.001243 20.6817    -4.53316 
02-Jul-2018 00:13:58  -0.001292 20.7523    -6.26515 
02-Jul-2018 12:14:12  -0.001201 20.5866    -1.65133 
03-Jul-2018 00:14:25  -0.001226 20.6012     -1.6418 
03-Jul-2018 12:14:39  -0.001256 20.6614    -2.40809 
04-Jul-2018 00:14:53  -0.001273 20.6801    -2.68368 
04-Jul-2018 12:15:06  -0.001287 20.7095    -3.22887 
05-Jul-2018 00:15:20  -0.001258 20.6706    -1.74166 
05-Jul-2018 12:15:33  -0.001302 20.7702    -3.65137 
06-Jul-2018 00:15:47  -0.001315 20.8096    -4.08361 
06-Jul-2018 12:16:00  -0.001264 20.7322    -1.66057 
07-Jul-2018 00:16:14  -0.001241 20.7021   -0.751872 
07-Jul-2018 12:16:27  -0.001296 20.7938    -2.27133 
08-Jul-2018 00:16:41  -0.001327 20.8421    -3.44712 
08-Jul-2018 12:16:54  -0.001321 20.8153    -2.25132 
09-Jul-2018 00:17:08  -0.001391 20.9178    -2.67445 
09-Jul-2018 12:17:21   -0.00137 20.8684   -0.864461 
10-Jul-2018 00:17:35  -0.001365 20.8573    0.211824 
10-Jul-2018 12:17:48  -0.001281 20.7257     3.02242 
11-Jul-2018 00:18:02  -0.001249 20.6692     4.75772 
11-Jul-2018 12:18:16  -0.001271 20.7075      2.9114 
12-Jul-2018 00:18:29  -0.001235 20.6531    0.536058 
12-Jul-2018 12:18:43  -0.001306  20.774    -4.28115 
13-Jul-2018 00:18:56   -0.00137  20.874    -8.71207 
13-Jul-2018 12:19:10  -0.001404  20.927    -8.38414 
14-Jul-2018 00:19:23  -0.001388 20.9158    -7.75438 
14-Jul-2018 12:19:37   -0.00137 20.8917    -5.90463 
15-Jul-2018 00:19:50  -0.001379 20.9162    -4.34991 
15-Jul-2018 12:20:04  -0.001346 20.8596    -2.48868 
16-Jul-2018 00:20:17  -0.001326 20.8301    -1.16429 
16-Jul-2018 12:20:31  -0.001215 20.6533     1.31077 
17-Jul-2018 00:20:44  -0.001193 20.6048      2.8973 
17-Jul-2018 12:20:58  -0.001127 20.4954     4.95826 
18-Jul-2018 00:21:11  -0.001106 20.4655     3.08347 
18-Jul-2018 12:21:25  -0.001025 20.3441     6.40039 
19-Jul-2018 00:21:38  -0.001078 20.4386     4.08556 
19-Jul-2018 12:21:52  -0.001301 20.8231    -1.92183 
20-Jul-2018 00:22:06  -0.001418 21.0431    -6.35506 
20-Jul-2018 12:22:19   -0.00139 20.9825    -4.88003 
21-Jul-2018 00:22:33  -0.001655 21.4316    -15.3603 
21-Jul-2018 12:22:46  -0.001621  21.369     -13.841 
22-Jul-2018 00:23:00   -0.00143 21.0044    -2.54163 
22-Jul-2018 12:23:13  -0.001423 20.9849    -1.58056 
23-Jul-2018 00:23:27  -0.001395 20.9008    -4.00087 
23-Jul-2018 12:23:40  -0.001465 21.0231    -5.83407 
24-Jul-2018 00:23:54  -0.001493 21.0545    -5.56609 
24-Jul-2018 12:24:07  -0.001531 21.1451    -6.37084 
25-Jul-2018 00:24:21  -0.001444 20.9997    -3.23327 
25-Jul-2018 12:24:34   -0.00142 20.9636    -2.36246 
26-Jul-2018 00:24:48  -0.001429  20.978    -1.96622 
26-Jul-2018 12:25:01  -0.001482 21.0735    -4.27266 
27-Jul-2018 00:25:15  -0.001411 20.9675    -0.97627 
27-Jul-2018 12:25:29  -0.001434 20.9961    -2.21817 
28-Jul-2018 00:25:42  -0.001458 21.0356    -2.05556 
28-Jul-2018 12:25:56  -0.001445 21.0142   -0.797191 
29-Jul-2018 00:26:09  -0.001461 21.0406   -0.689275 
29-Jul-2018 12:26:23   -0.00135 20.8469     4.51642 
30-Jul-2018 00:26:36  -0.001384 20.8997     3.06724 
30-Jul-2018 12:26:50  -0.001355  20.856     5.21441 
31-Jul-2018 00:27:03  -0.001411 20.9544     3.96335 
31-Jul-2018 12:27:17  -0.001496 21.1024    0.239106 
01-Aug-2018 00:27:30  -0.001438 21.0039     4.25117 
01-Aug-2018 12:27:44  -0.001578 21.2358   -0.900544 
02-Aug-2018 00:27:57  -0.001619 21.3091    -1.34394 
02-Aug-2018 12:28:11  -0.001554 21.1988     1.27367 
03-Aug-2018 00:28:24  -0.001501 21.1055     2.93796 
03-Aug-2018 12:28:38   -0.00152 21.1265     2.99523 
04-Aug-2018 00:28:51  -0.001554 21.1937     1.58132 
04-Aug-2018 12:29:05  -0.001538 21.1678     1.82616 
05-Aug-2018 00:29:19  -0.001541 21.1615      1.7948 
05-Aug-2018 12:29:32  -0.001531 21.1396     4.34191 
06-Aug-2018 00:29:46  -0.001629    21.3     0.91755 
06-Aug-2018 12:29:59  -0.001629 21.3108     1.95365 
07-Aug-2018 00:30:13  -0.001642 21.3309    0.368344 
07-Aug-2018 12:30:26  -0.001671 21.3708    -1.49995 
08-Aug-2018 00:30:40  -0.001631 21.3125    -2.34931 
08-Aug-2018 12:30:53   -0.00169 21.4216     -7.0093 
09-Aug-2018 00:31:07  -0.001728 21.4851    -8.15008 
09-Aug-2018 12:31:20  -0.001682 21.3909    -4.77221 
10-Aug-2018 00:31:34  -0.001691 21.3996    -4.41637 
10-Aug-2018 12:31:47  -0.001692 21.4103    -3.36662 
11-Aug-2018 00:32:01  -0.001742 21.4957    -4.08517 
11-Aug-2018 12:32:14  -0.001738 21.4897    -3.01147 
12-Aug-2018 00:32:28  -0.001641 21.3302    0.941483 
12-Aug-2018 12:32:41  -0.001591 21.2647     2.48059 
13-Aug-2018 00:32:55  -0.001582  21.264     2.49378 
13-Aug-2018 12:33:09  -0.001599 21.2807     1.54833 
14-Aug-2018 00:33:22  -0.001642 21.3413    -0.24933 
14-Aug-2018 12:33:36  -0.001611 21.2738      1.1668 
15-Aug-2018 00:33:49  -0.001702 21.4283    -2.30379 
15-Aug-2018 12:34:03  -0.001778 21.5631     -5.8705 
16-Aug-2018 00:34:16  -0.001724 21.4608    -2.13931 
16-Aug-2018 12:34:30  -0.001644 21.3262     1.59278 
17-Aug-2018 00:34:43  -0.001491 21.0659     8.64526 
17-Aug-2018 12:34:57  -0.001547 21.1771     6.75456 
18-Aug-2018 00:35:10  -0.001363 20.8581      14.078 
18-Aug-2018 12:35:24  -0.001301 20.7433     16.9605 
19-Aug-2018 00:35:37  -0.001388 20.8981     12.2333 
19-Aug-2018 12:35:51  -0.001392 20.9147     10.7526 
20-Aug-2018 00:36:04  -0.001401 20.9341     9.20264 
20-Aug-2018 12:36:18  -0.001459 21.0222     6.20566 
21-Aug-2018 00:36:32  -0.001556 21.1865     2.86209 
21-Aug-2018 12:36:45  -0.001682 21.4045    -1.37358 
22-Aug-2018 00:36:59  -0.001554 21.1827     3.50529 
22-Aug-2018 12:37:12  -0.001628 21.2986    0.582417 
23-Aug-2018 00:37:26  -0.001728 21.4644    -3.52786 
23-Aug-2018 12:37:39  -0.001647 21.3382   -0.729462 
24-Aug-2018 00:37:53  -0.001593   21.25     0.43464 
24-Aug-2018 12:38:06  -0.001633 21.3285    -1.61765 
25-Aug-2018 00:38:20  -0.001783 21.5912    -7.10503 
25-Aug-2018 12:38:33  -0.001763 21.5755    -5.61492 
26-Aug-2018 00:38:47  -0.001901 21.8178    -10.5907 
26-Aug-2018 12:39:00  -0.001819 21.6748    -8.15308 
27-Aug-2018 00:39:14  -0.001903 21.8143    -11.8318 
27-Aug-2018 12:39:27  -0.001807 21.6436      -8.915 
28-Aug-2018 00:39:41  -0.001668 21.4142    -4.40909 
28-Aug-2018 12:39:54  -0.001646 21.3723     -3.7835 
29-Aug-2018 00:40:08  -0.001655 21.3887    -4.73412 
29-Aug-2018 12:40:22   -0.00168 21.4169    -6.33746 
30-Aug-2018 00:40:35  -0.001636 21.3426    -4.56677 
30-Aug-2018 12:40:49  -0.001618 21.3218    -2.95275 
31-Aug-2018 00:41:02  -0.001626 21.3186    -2.31285 
31-Aug-2018 12:41:16  -0.001638 21.3416    -3.23501 
01-Sep-2018 00:41:29  -0.001559 21.2039   -0.698386 
01-Sep-2018 12:41:43  -0.001505 21.1284     0.72531 
