######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000001    2021-Jan-01 00:07:36.055040   -------- 
000002    2021-Jan-01 01:15:55.920364      81962 
000003    2021-Jan-01 01:23:16.543938      80365 
000004    2021-Jan-01 01:30:36.137061      78773 
000005    2021-Jan-01 01:32:39.966692      78323 
000006    2021-Jan-01 01:32:54.369443      78272 
000007    2021-Jan-01 01:38:56.542743      76953 
000008    2021-Jan-01 01:39:55.697538      76739 
000009    2021-Jan-01 01:40:22.526034      76640 
000010    2021-Jan-01 02:55:25.493199      60437 
000011    2021-Jan-01 02:56:05.872998      60295 
000012    2021-Jan-01 03:10:50.144418      57138 
000013    2021-Jan-01 03:11:57.511088      56894 
000014    2021-Jan-01 04:16:00.254082      43071 
000015    2021-Jan-01 04:38:32.866707      38078 
000016    2021-Jan-01 04:44:57.265494      36654 
000017    2021-Jan-01 05:49:59.949478      22046 
000018    2021-Jan-01 06:04:36.866279      18746 
000019    2021-Jan-01 06:08:11.152476      17940 
000020    2021-Jan-01 06:13:02.012238      16843 
000021    2021-Jan-01 06:16:30.535282      16060 
000022    2021-Jan-01 06:17:58.393744      15729 
000023    2021-Jan-01 07:24:27.764597       1026 
000024    2021-Jan-01 07:46:13.573069      -3824 
000025    2021-Jan-01 07:48:13.667118      -4273 
000026    2021-Jan-01 08:55:48.460987     -19277 
000027    2021-Jan-01 09:09:08.406668     -22194 
000028    2021-Jan-01 10:46:10.277346     -43589 
000029    2021-Jan-01 12:00:39.851709     -60000 
000030    2021-Jan-01 12:03:59.604942     -60728 
000031    2021-Jan-01 12:12:23.742479     -62561 
000032    2021-Jan-01 12:16:17.487322     -63409 
000033    2021-Jan-01 12:20:11.811098     -64262 
000034    2021-Jan-01 12:22:06.045274     -64683 
000035    2021-Jan-01 12:23:53.554661     -65074 
000036    2021-Jan-01 12:30:14.000958     -66467 
000037    2021-Jan-01 13:37:11.993334     -81090 
000038    2021-Jan-01 13:41:33.906909     -82036 
000039    2021-Jan-01 13:50:08.135401     -83904 
000040    2021-Jan-01 13:55:30.962785     -85075 
000041    2021-Jan-01 15:10:02.142717     -98289 
000042    2021-Jan-01 15:13:39.721875     -96863 
000043    2021-Jan-01 15:27:46.525103     -91302 
000044    2021-Jan-01 15:31:50.847808     -89701 
000045    2021-Jan-01 15:35:27.681392     -88279 
000046    2021-Jan-01 15:37:08.745639     -87618 
