######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000001    2021-Jan-01 01:33:07.237829      78225 
000002    2021-Jan-01 01:33:39.739472      78105 
000003    2021-Jan-01 01:34:00.322136      78032 
000004    2021-Jan-01 02:49:04.056500      61801 
000005    2021-Jan-01 02:49:20.304413      61744 
000006    2021-Jan-01 02:51:39.389869      61247 
000007    2021-Jan-01 02:58:57.806949      59681 
000008    2021-Jan-01 03:07:20.890915      57884 
000009    2021-Jan-01 03:11:00.743432      57098 
000010    2021-Jan-01 04:24:27.125946      41207 
000011    2021-Jan-01 04:24:52.375968      41115 
000012    2021-Jan-01 04:25:01.958783      41079 
000013    2021-Jan-01 04:25:05.625906      41064 
000014    2021-Jan-01 04:25:23.874678      40998 
000015    2021-Jan-01 04:26:03.980351      40850 
000016    2021-Jan-01 06:01:48.531659      19386 
000017    2021-Jan-01 06:02:13.197164      19289 
000018    2021-Jan-01 07:25:21.264556        831 
000019    2021-Jan-01 11:59:32.795161     -59757 
000020    2021-Jan-01 11:59:34.377860     -59764 
000021    2021-Jan-01 11:59:37.044919     -59775 
000022    2021-Jan-01 11:59:40.376855     -59786 
000023    2021-Jan-01 11:59:42.376846     -59793 
000024    2021-Jan-01 12:00:19.793159     -59928 
000025    2021-Jan-01 12:00:22.375951     -59939 
000026    2021-Jan-01 12:00:33.961869     -59982 
000027    2021-Jan-01 12:00:57.961139     -60070 
000028    2021-Jan-01 13:34:09.113501     -80426 
000029    2021-Jan-01 13:34:12.863449     -80437 
000030    2021-Jan-01 13:34:15.613045     -80448 
000031    2021-Jan-01 13:34:21.280066     -80470 
000032    2021-Jan-01 13:34:30.030452     -80502 
000033    2021-Jan-01 13:34:39.302152     -80535 
000034    2021-Jan-01 13:34:40.302142     -80539 
000035    2021-Jan-01 13:34:43.884563     -80549 
000036    2021-Jan-01 13:34:49.550925     -80571 
000037    2021-Jan-01 13:34:51.467670     -80578 
000038    2021-Jan-01 13:34:52.884594     -80582 
000039    2021-Jan-01 13:34:59.384416     -80607 
000040    2021-Jan-01 13:35:00.634205     -80611 
000041    2021-Jan-01 13:35:01.634188     -80615 
000042    2021-Jan-01 13:35:06.050711     -80633 
000043    2021-Jan-01 13:35:20.300283     -80684 
000044    2021-Jan-01 13:37:39.282769     -81188 
