tus,dau,det,typ,erg
-125360,0,1,0,96
-125097,2,1,0,1487
-124937,1,0,0,70
-124831,2,2,0,1464
-124823,3,2,0,38
-124634,0,1,0,1750
-124408,0,0,0,1696
-124408,0,1,0,286
-124390,2,2,0,38
-124390,3,2,0,81
-124251,0,1,0,1659
-124061,3,0,0,208
-123668,1,1,0,1628
-123462,3,2,0,91
-123323,1,1,0,1678
-123323,1,2,0,335
-122989,0,1,0,27
-122912,1,1,0,39
-122912,2,2,0,27
-122757,2,0,0,36
-122590,3,1,0,124
-121889,3,0,0,77
-121819,0,2,0,581
-121819,0,0,0,124
-121819,0,1,0,567
-121684,0,1,0,71
-121655,0,1,0,110
-121655,0,2,0,71
-121561,2,2,0,1657
-121561,0,1,0,31
-121561,2,0,0,1707
-121561,2,1,0,918
-121559,2,2,3,66
-121558,2,2,1,70
-121517,1,0,0,127
-121493,0,1,0,93
-121168,1,1,0,57
-121168,3,0,0,40
-120979,3,1,0,1658
-120979,3,2,0,1765
-120800,1,1,0,35
-120737,1,0,0,41
-120714,2,0,0,21
-120512,2,1,0,29
-120512,0,2,0,81
-120511,1,0,0,1826
-120472,1,0,0,42
-120118,1,0,0,1775
-120092,2,2,0,22
-119921,2,1,0,16
-119878,1,0,0,1625
-119878,1,2,0,121
-119456,1,0,0,1692
-119456,3,1,0,850
-119456,1,2,0,747
-119456,3,2,0,546
-119398,1,0,0,1635
-119366,1,1,0,1681
-119366,1,2,0,1164
-119366,1,0,0,77
-119144,3,1,0,40
-119098,1,2,0,44
-119049,2,2,0,1661
-119029,2,2,0,1392
-119029,2,0,0,132
-118805,0,2,0,1953
-118678,2,0,0,1994
-118678,0,2,0,59
-118678,1,2,0,258
-118678,0,1,0,29
-118678,2,1,0,136
-118675,2,0,3,62
-118674,2,0,1,107
-118597,3,2,0,1819
-118489,1,2,0,209
-118419,0,0,0,61
-118378,1,0,0,1664
-118377,2,1,0,31
-118377,0,2,0,34
-117758,2,1,0,1714
-117757,3,1,0,54
-117757,2,0,0,872
-117754,2,1,1,71
-117754,2,1,3,68
-117543,2,2,0,1686
-117543,2,1,0,1567
-117498,0,2,0,1098
-117376,1,2,0,53
-117358,0,0,0,68
-117327,2,1,0,24
-117327,3,2,0,48
-117276,1,0,0,1636
-117276,2,1,0,153
-117276,3,1,0,396
-117276,1,2,0,113
-117276,2,0,0,220
-117276,1,1,0,122
-117202,1,2,0,39
-117137,1,1,0,177
-116903,2,2,0,40
-116547,0,1,0,1598
-116547,1,0,0,1501
-116547,2,0,0,1716
-116547,3,2,0,475
-116547,2,1,0,204
-116547,0,2,0,50
-116547,0,0,0,1525
-116547,2,2,0,1444
-116482,0,1,0,29
-116482,2,1,0,25
-116274,0,1,0,46
-116255,0,2,0,2082
-116254,0,0,0,145
-116254,0,1,0,496
-115913,1,2,0,943
-115913,3,0,0,47
-115885,1,1,0,1793
-115885,1,0,0,196
-115848,0,2,0,1886
-115720,0,2,0,392
-115614,1,1,0,47
-115390,3,1,0,93
-115026,3,0,0,1839
