tus,dau,det,typ,erg
-197036,1,0,0,493
-196900,0,0,0,57
-196900,2,2,0,20
-196709,2,0,0,18
-196510,1,2,0,261
-196510,3,0,0,1677
-196244,3,1,0,487
-196078,1,2,0,33
-196078,3,0,0,95
-195372,1,1,0,79
-194662,2,0,0,35
-194567,2,0,0,18
-194283,3,2,0,69
-193967,0,0,0,41
-193795,3,1,0,313
-193558,1,0,0,260
-193558,1,1,0,301
-193187,2,1,0,18
-193143,1,2,0,1796
-193143,3,0,0,1750
-193142,2,0,0,34
-193142,3,2,0,635
-193142,3,1,0,646
-193080,2,0,0,1633
-192937,2,0,0,21
-192937,2,1,0,25
-192469,1,0,0,125
-192446,3,2,0,1889
-192445,2,0,0,1408
-192445,3,1,0,33
-192364,1,0,0,1830
-192364,0,2,0,1916
-192364,0,1,0,1680
-192364,1,1,0,1827
-192364,0,0,0,748
-192364,1,2,0,1440
-192275,3,2,0,452
-191948,1,0,0,81
-191889,0,0,0,637
-191835,2,0,0,55
-191491,3,1,0,36
-191439,1,1,0,69
-191406,0,0,0,364
-191253,3,1,0,33
-190929,1,2,0,98
-190838,0,0,0,930
-190420,0,0,0,1609
-190419,0,1,0,37
-189849,0,0,0,183
-189849,2,1,0,21
-189849,2,2,0,17
-189804,1,2,0,150
-189552,2,0,0,47
-189494,2,0,0,53
-189463,1,0,0,60
-188075,3,1,0,67
-187790,2,2,0,23
-187122,2,1,0,20
-186957,0,0,0,1894
-186957,1,0,0,1804
-186957,2,0,0,1625
-186957,3,1,0,1669
-186957,0,2,0,1929
-186957,1,1,0,1736
-186957,2,1,0,1611
-186957,3,2,0,1943
-186957,2,2,0,1063
-186957,3,0,0,1758
-186957,0,1,0,991
-186957,1,2,0,1332
-186587,1,2,0,513
-186511,3,1,0,66
-186477,3,2,0,31
-185863,2,0,0,33
-185818,1,1,0,82
-184766,2,1,0,954
-184766,2,2,0,823
-184674,0,2,0,808
-184674,2,1,0,76
-184674,2,0,0,35
-184301,3,1,0,172
-183992,2,2,0,1633
-183992,2,1,0,43
-183012,2,1,0,64
-181930,0,2,0,46
-181921,3,2,0,39
-181858,3,0,0,1717
-181691,0,2,0,27
-181157,0,1,0,2004
-181157,1,0,0,1427
-181157,2,0,0,1641
-181157,3,2,0,294
-181157,0,2,0,2024
-181157,1,1,0,41
-181157,2,2,0,217
-181157,0,0,0,1875
-181157,2,1,0,49
-180715,0,0,0,1868
-180715,2,1,0,1712
-180715,3,1,0,41
-180715,1,0,0,118
-180715,2,2,0,1842
-180715,0,1,0,1776
-180715,3,2,0,112
-180715,2,0,0,1671
-180715,3,0,0,173
-180425,0,0,0,68
-180164,2,0,0,1373
-180162,2,0,1,69
-180162,2,0,3,67
-179559,2,0,0,21
-179559,3,2,0,521
-179455,2,1,0,146
-178706,3,2,0,43
-178691,2,1,0,18
-178529,3,0,0,343
-178106,1,0,0,1725
-178105,0,2,0,73
-178105,1,1,0,68
-177886,0,1,0,792
-177886,0,2,0,97
-177886,0,0,0,44
-177764,0,2,0,80
-177033,1,2,0,428
-177033,3,0,0,35
-176978,2,0,0,23
-176977,2,1,0,314
-176851,3,0,0,362
-176455,2,1,0,32
-176455,2,2,0,39
-175688,0,0,0,1160
-175307,0,0,0,37
-175204,1,0,0,123
-174845,0,2,0,29
-174629,2,2,0,84
-173508,0,2,0,61
-173456,0,0,0,140
-173338,0,0,0,39
-173338,2,2,0,252
-173245,1,1,0,41
-172825,0,0,0,25
-172807,1,0,0,46
-171173,0,0,0,98
-171127,1,0,0,76
-170990,3,1,0,368
-170563,0,0,0,1697
-170555,0,0,1,799
-170555,0,0,3,26
-170543,0,0,0,241
-170259,3,0,0,70
-169761,2,1,0,1356
-169553,3,1,0,1700
-169553,2,0,0,951
-169553,3,2,0,1850
-169255,1,1,0,1058
-168963,0,1,0,204
-168908,3,0,0,46
-168908,1,2,0,57
-168286,1,2,0,289
-167922,1,1,0,69
-167747,0,0,0,60
-167747,1,0,0,31
-167747,1,2,0,32
-167738,1,2,0,261
-167698,3,0,0,58
-167235,0,2,0,85
-167235,2,1,0,76
-167235,2,0,0,1027
-167217,2,2,0,219
-166902,3,1,0,39
-166823,0,2,0,2190
-166823,1,0,0,1861
-166823,3,0,0,192
-166823,0,1,0,1779
-166823,1,1,0,1431
-166823,3,1,0,47
-166823,0,0,0,28
-166823,1,2,0,478
-166780,2,0,0,57
-166780,3,2,0,1415
-166780,3,0,0,34
-166495,2,1,0,17
-166134,3,2,0,65
-165911,0,2,0,25
-165871,2,0,0,17
-165535,2,2,0,393
-164553,3,0,0,1695
-164242,3,0,0,55
-163967,2,1,0,23
-162337,2,0,0,95
-162337,2,1,0,83
-161619,3,1,0,34
-161338,2,0,0,53
-161338,3,2,0,1531
-160927,0,0,0,51
-160695,2,2,0,43
-160416,1,2,0,90
-160280,1,0,0,131
-160269,0,0,0,1787
-160269,2,2,0,1587
-160269,2,1,0,28
-160269,2,0,0,34
-160077,3,0,0,38
-159927,1,2,0,250
-159661,2,1,0,16
-159661,3,0,0,120
-159661,2,2,0,115
-159624,1,0,0,41
-159380,1,2,0,167
-158771,1,1,0,78
-158405,2,0,0,17
-158405,2,1,0,404
-158281,3,2,0,32
-157716,1,1,0,81
-157327,3,0,0,31
-156990,1,2,0,37
-156762,0,0,0,343
-156320,0,0,0,1691
-156320,0,1,0,1695
-156047,1,1,0,82
-156047,3,1,0,190
-155522,3,1,0,42
-155323,3,0,0,55
-155323,3,2,0,683
-155271,2,0,0,16
-155029,0,2,0,299
-154928,0,0,0,23
-154572,2,1,0,773
-154562,2,2,0,39
-154455,2,0,0,70
-154455,3,1,0,192
-154455,3,2,0,51
-154304,0,0,0,173
-154199,0,2,0,29
-153665,2,2,0,52
-153598,0,0,0,31
-153530,3,1,0,33
-153444,2,2,0,775
-153350,2,1,0,1527
-153350,2,2,0,1606
-152657,0,0,0,668
-152657,2,2,0,70
-152657,0,1,0,363
-152311,0,2,0,37
-151752,1,2,0,265
-151701,0,2,0,31
-151491,1,2,0,164
-151369,2,0,0,1648
-151369,0,2,0,72
-151369,2,1,0,445
-151027,0,1,0,287
-151027,0,2,0,46
-150643,1,2,0,1599
-150643,1,1,0,131
-150504,1,0,0,153
-150488,0,0,0,56
-149748,0,2,0,342
-149748,1,0,0,1491
-149748,1,1,0,508
-149258,0,0,0,63
-148433,2,0,0,1396
-148394,2,1,0,34
-148265,0,0,0,134
-148007,0,2,0,24
-147786,3,2,0,2079
-147786,1,0,0,1858
-147786,2,0,0,1547
-147786,1,1,0,1634
-147786,2,1,0,1388
-147786,3,0,0,1745
