tus,dau,det,typ,erg
-960000,1,1,0,82
-959784,0,2,0,2030
-959784,1,1,0,1666
-959784,3,1,0,600
-959784,0,0,0,629
-959784,0,1,0,1069
-959624,3,1,0,1300
-958959,2,1,0,17
-958356,3,2,0,46
-958014,1,2,0,382
-957741,2,2,0,798
-957384,0,0,0,177
-956934,3,1,0,110
-956610,0,1,0,125
-956126,2,1,0,38
-956122,3,2,0,40
-956032,2,0,0,17
-955991,0,0,0,1305
-955991,0,1,0,39
-955942,1,0,0,1688
-955925,2,2,0,19
-955719,1,1,0,1671
-955719,1,2,0,432
-955644,2,2,0,18
-955206,0,2,0,149
-955109,3,2,0,1701
-954858,0,2,0,1342
-954702,3,1,0,171
-954583,0,0,0,30
-953928,0,0,0,896
-953928,2,2,0,72
-953928,0,2,0,639
-953807,2,0,0,156
-953458,0,0,0,1801
-953423,0,0,0,27
-953345,3,0,0,63
-953230,0,0,0,1722
-953230,2,2,0,1287
-953229,2,1,0,32
-952983,0,2,0,1651
-952983,0,1,0,806
-952949,0,2,0,57
-952949,1,0,0,1825
-952949,3,1,0,244
-952840,3,0,0,32
-952187,1,1,0,120
-952072,0,2,0,40
-952050,2,2,0,55
-951908,0,0,0,1868
-951908,2,1,0,1701
-951908,3,1,0,59
-951908,0,1,0,210
-951908,2,2,0,1631
-951908,2,0,0,50
-951908,0,2,0,44
-951905,0,1,1,306
-951905,0,1,3,9
-951808,3,0,0,615
-951808,3,1,0,675
-951808,3,2,0,33
-951532,2,1,0,98
-951532,2,2,0,705
-951129,2,0,0,1592
-951059,0,2,0,1557
-951059,1,0,0,1726
-950929,0,0,0,122
-950234,0,0,0,1774
-950233,0,1,0,23
-950090,2,1,0,1651
-950090,3,0,0,1658
-950090,0,1,0,193
-950090,2,2,0,1684
-950090,2,0,0,1431
-949626,3,0,0,31
-949392,0,0,0,118
-949215,1,2,0,43
-949215,1,1,0,90
-949033,3,1,0,1726
-949033,1,0,0,1192
-949033,3,0,0,1768
-949033,1,1,0,142
-949033,1,2,0,59
-948915,1,2,0,120
-948915,1,0,0,49
-948808,3,1,0,221
-948753,2,1,0,52
-947956,0,0,0,42
-947740,2,2,0,605
-947653,0,1,0,37
-947651,2,1,0,250
-947651,2,2,0,291
-947285,0,0,0,158
-947264,0,2,0,162
-947264,1,1,0,73
-947264,2,0,0,294
-947264,3,2,0,222
-947264,1,0,0,94
-947264,3,0,0,331
-947264,0,0,0,112
-947264,2,1,0,459
-947264,3,1,0,165
-946891,1,1,0,45
-946032,3,0,0,82
-945860,3,2,0,44
-945741,2,1,0,198
-945462,0,0,0,1707
