       Name        RA      Dec  LocInstr  ToF_KW_ASIM  
 GRB180720B     0.528   -2.917       XRT   -4.2377      
 GRB181222B   312.572    24.24   IPN_cat    2.8716       
 GRB190206A    313.33   -30.51   IPN_cat    4.9225      
 GRB190305A    11.627  -50.349       XRT    3.4460       
 GRB190606A    76.561   -0.638       IPN    4.0316      
 GRB200415A    11.885  -25.263       IPN    4.1840     
 GRB200521A   169.531    7.222       IPN   -0.6226     
 GRB200716C    196.01   29.644       XRT    3.0155      
 GRB201227A   170.121  -73.613       IPN    0.7142       
 GRB210424B   284.716   16.172       IPN   -0.5033      
 GRB210619B   319.716    33.85       XRT   -2.6183        
