tus;erg;typ;adr;dau;det;kev;cal_abc
-998821.8888888889;54;0;1;1;1;539.6231;0.005286, 8.364000, 72.553100
-998380.0555555555;216;0;1;1;1;2125.8007;0.005286, 8.364000, 72.553100
-998072.0833333334;197;0;1;1;1;1925.4055;0.005286, 8.364000, 72.553100
-997838.2777777778;32;0;1;1;1;345.614;0.005286, 8.364000, 72.553100
-996327.8888888889;1727;0;1;1;1;30282.8294;0.005286, 8.364000, 72.553100
-995336.2777777778;43;0;1;1;1;441.9789;0.005286, 8.364000, 72.553100
-990509.4722222222;55;0;1;1;1;548.5632;0.005286, 8.364000, 72.553100
-989101.6666666666;162;0;1;1;1;1566.2469;0.005286, 8.364000, 72.553100
-988784.6111111111;86;0;1;1;1;830.9524;0.005286, 8.364000, 72.553100
-983911.1388888889;25;0;1;1;1;284.9569;0.005286, 8.364000, 72.553100
-982104.3333333334;32;0;1;1;1;345.614;0.005286, 8.364000, 72.553100
-980170.0;51;0;1;1;1;512.866;0.005286, 8.364000, 72.553100
-979150.0833333334;186;0;1;1;1;1811.1316;0.005286, 8.364000, 72.553100
-977581.5;45;0;1;1;1;459.6373;0.005286, 8.364000, 72.553100
-977548.6666666666;666;0;1;1;1;7987.6141;0.005286, 8.364000, 72.553100
-976337.5;31;0;1;1;1;336.9169;0.005286, 8.364000, 72.553100
-973726.4166666666;59;0;1;1;1;584.4297;0.005286, 8.364000, 72.553100
-973395.3611111111;28;0;1;1;1;310.8893;0.005286, 8.364000, 72.553100
-972296.4722222222;205;0;1;1;1;2009.3173;0.005286, 8.364000, 72.553100
-971680.3055555555;47;0;1;1;1;477.3379;0.005286, 8.364000, 72.553100
-971241.1388888889;50;0;1;1;1;503.9681;0.005286, 8.364000, 72.553100
-970780.4722222222;54;0;1;1;1;539.6231;0.005286, 8.364000, 72.553100
-967915.5;153;0;1;1;1;1475.9851;0.005286, 8.364000, 72.553100
-966777.1388888889;82;0;1;1;1;793.9442;0.005286, 8.364000, 72.553100
-965366.2777777778;81;0;1;1;1;784.7185;0.005286, 8.364000, 72.553100
-965227.6388888889;1804;0;1;1;1;32364.0521;0.005286, 8.364000, 72.553100
-964769.4166666666;74;0;1;1;1;720.4352;0.005286, 8.364000, 72.553100
-963929.1388888889;121;0;1;1;1;1161.9894;0.005286, 8.364000, 72.553100
-963270.6111111111;1271;0;1;1;1;19242.4182;0.005286, 8.364000, 72.553100
-962932.75;29;0;1;1;1;319.5546;0.005286, 8.364000, 72.553100
-961952.8888888889;489;0;1;1;1;5426.5427;0.005286, 8.364000, 72.553100
-959775.9166666666;29;0;1;1;1;319.5546;0.005286, 8.364000, 72.553100
-959677.5833333334;32;0;1;1;1;345.614;0.005286, 8.364000, 72.553100
-958896.3055555555;903;0;1;1;1;11935.4971;0.005286, 8.364000, 72.553100
-958868.8888888889;52;0;1;1;1;521.7744;0.005286, 8.364000, 72.553100
-957879.1666666666;263;0;1;1;1;2637.9124;0.005286, 8.364000, 72.553100
-950714.7222222222;1820;0;1;1;1;32804.3795;0.005286, 8.364000, 72.553100
-948570.3888888889;1891;0;1;1;1;34790.9841;0.005286, 8.364000, 72.553100
-948279.2777777778;1862;0;1;1;1;33973.1157;0.005286, 8.364000, 72.553100
-945044.9444444445;38;0;1;1;1;398.0181;0.005286, 8.364000, 72.553100
-941948.8055555555;1820;0;1;1;1;32804.3795;0.005286, 8.364000, 72.553100
-941714.9722222222;398;0;1;1;1;4238.7486;0.005286, 8.364000, 72.553100
-939362.6666666666;46;0;1;1;1;468.4823;0.005286, 8.364000, 72.553100
-938584.6666666666;93;0;1;1;1;896.1237;0.005286, 8.364000, 72.553100
-936905.0555555555;1843;0;1;1;1;33442.0917;0.005286, 8.364000, 72.553100
-935014.1944444445;1431;0;1;1;1;22865.9017;0.005286, 8.364000, 72.553100
-934089.9166666666;42;0;1;1;1;433.1656;0.005286, 8.364000, 72.553100
-933803.1388888889;41;0;1;1;1;424.3629;0.005286, 8.364000, 72.553100
-933260.4722222222;1820;0;1;1;1;32804.3795;0.005286, 8.364000, 72.553100
-931535.8055555555;190;0;1;1;1;1852.5377;0.005286, 8.364000, 72.553100
-931186.2222222222;1808;0;1;1;1;32473.8802;0.005286, 8.364000, 72.553100
-931172.1388888889;236;0;1;1;1;2340.8662;0.005286, 8.364000, 72.553100
-929332.0833333334;236;0;1;1;1;2340.8662;0.005286, 8.364000, 72.553100
-929129.9166666666;30;0;1;1;1;328.2305;0.005286, 8.364000, 72.553100
-928634.0277777778;45;0;1;1;1;459.6373;0.005286, 8.364000, 72.553100
-928484.5555555555;41;0;1;1;1;424.3629;0.005286, 8.364000, 72.553100
-928050.25;957;0;1;1;1;12918.0789;0.005286, 8.364000, 72.553100
-927031.3333333334;71;0;1;1;1;693.0438;0.005286, 8.364000, 72.553100
-924549.8888888889;235;0;1;1;1;2330.0124;0.005286, 8.364000, 72.553100
-923900.8611111111;305;0;1;1;1;3115.3033;0.005286, 8.364000, 72.553100
-922561.1111111111;44;0;1;1;1;450.8028;0.005286, 8.364000, 72.553100
-919663.8055555555;148;0;1;1;1;1426.2096;0.005286, 8.364000, 72.553100
-919325.9444444445;1817;0;1;1;1;32721.612;0.005286, 8.364000, 72.553100
-918476.1666666666;89;0;1;1;1;858.8195;0.005286, 8.364000, 72.553100
-918311.9722222222;53;0;1;1;1;530.6935;0.005286, 8.364000, 72.553100
-915320.5833333334;1770;0;1;1;1;31437.3425;0.005286, 8.364000, 72.553100
-911689.5833333334;1560;0;1;1;1;25984.4027;0.005286, 8.364000, 72.553100
-910388.6944444445;152;0;1;1;1;1466.0088;0.005286, 8.364000, 72.553100
-907042.1944444445;52;0;1;1;1;521.7744;0.005286, 8.364000, 72.553100
-906549.8333333334;83;0;1;1;1;803.1804;0.005286, 8.364000, 72.553100
-902937.3611111111;26;0;1;1;1;293.5904;0.005286, 8.364000, 72.553100
