tus,erg,typ,adr,dau,det,keV,cal_abc
-970399.8888888889,54,0,1,1,1,534.2723,"0.005245, 8.4154, 64.54628"
-969958.0555555555,216,0,1,1,1,2126.9834,"0.005245, 8.4154, 64.54628"
-969650.0833333334,197,0,1,1,1,1925.933285,"0.005245, 8.4154, 64.54628"
-969416.2777777778,32,0,1,1,1,339.20996,"0.005245, 8.4154, 64.54628"
-967905.8888888889,1727,0,1,1,1,30241.306685,"0.005245, 8.4154, 64.54628"
-966914.2777777778,43,0,1,1,1,436.106485,"0.005245, 8.4154, 64.54628"
-962087.4722222222,55,0,1,1,1,543.259405,"0.005245, 8.4154, 64.54628"
-960679.6666666666,162,0,1,1,1,1565.4908599999999,"0.005245, 8.4154, 64.54628"
-960362.6111111111,86,0,1,1,1,827.0627,"0.005245, 8.4154, 64.54628"
-955489.1388888889,25,0,1,1,1,278.20940499999995,"0.005245, 8.4154, 64.54628"
-953682.3333333334,32,0,1,1,1,339.20996,"0.005245, 8.4154, 64.54628"
-951748.0,51,0,1,1,1,507.373925,"0.005245, 8.4154, 64.54628"
-950728.0833333334,186,0,1,1,1,1811.2667000000001,"0.005245, 8.4154, 64.54628"
-949159.5,45,0,1,1,1,453.860405,"0.005245, 8.4154, 64.54628"
-949126.6666666666,666,0,1,1,1,7995.653899999999,"0.005245, 8.4154, 64.54628"
-947915.5,31,0,1,1,1,330.46412499999997,"0.005245, 8.4154, 64.54628"
-945304.4166666666,59,0,1,1,1,579.312725,"0.005245, 8.4154, 64.54628"
-944973.3611111111,28,0,1,1,1,304.28956,"0.005245, 8.4154, 64.54628"
-943874.4722222222,205,0,1,1,1,2010.124405,"0.005245, 8.4154, 64.54628"
-943258.3055555555,47,0,1,1,1,471.656285,"0.005245, 8.4154, 64.54628"
-942819.1388888889,50,0,1,1,1,498.42877999999996,"0.005245, 8.4154, 64.54628"
-942358.4722222222,54,0,1,1,1,534.2723,"0.005245, 8.4154, 64.54628"
-939493.5,153,0,1,1,1,1474.882685,"0.005245, 8.4154, 64.54628"
-938355.1388888889,82,0,1,1,1,789.8764600000001,"0.005245, 8.4154, 64.54628"
-936944.2777777778,81,0,1,1,1,780.606125,"0.005245, 8.4154, 64.54628"
-936805.6388888889,1804,0,1,1,1,32315.339799999998,"0.005245, 8.4154, 64.54628"
-936347.4166666666,74,0,1,1,1,716.0075,"0.005245, 8.4154, 64.54628"
-935507.1388888889,121,0,1,1,1,1159.601725,"0.005245, 8.4154, 64.54628"
-934848.6111111111,1271,0,1,1,1,19233.507725,"0.005245, 8.4154, 64.54628"
-934510.75,29,0,1,1,1,313.003925,"0.005245, 8.4154, 64.54628"
-933530.8888888889,489,0,1,1,1,5433.866525,"0.005245, 8.4154, 64.54628"
-931353.9166666666,29,0,1,1,1,313.003925,"0.005245, 8.4154, 64.54628"
-931255.5833333334,32,0,1,1,1,339.20996,"0.005245, 8.4154, 64.54628"
-930474.3055555555,903,0,1,1,1,11940.472685,"0.005245, 8.4154, 64.54628"
-930446.8888888889,52,0,1,1,1,516.32956,"0.005245, 8.4154, 64.54628"
-929457.1666666666,263,0,1,1,1,2640.587885,"0.005245, 8.4154, 64.54628"
-922292.7222222222,1820,0,1,1,1,32754.112279999998,"0.005245, 8.4154, 64.54628"
-920148.3888888889,1891,0,1,1,1,34733.563525,"0.005245, 8.4154, 64.54628"
-919857.2777777778,1862,0,1,1,1,33918.666860000005,"0.005245, 8.4154, 64.54628"
-916622.9444444445,38,0,1,1,1,391.90526,"0.005245, 8.4154, 64.54628"
-913526.8055555555,1820,0,1,1,1,32754.112279999998,"0.005245, 8.4154, 64.54628"
-913292.9722222222,398,0,1,1,1,4244.70446,"0.005245, 8.4154, 64.54628"
-910940.6666666666,46,0,1,1,1,462.7531,"0.005245, 8.4154, 64.54628"
-910162.6666666666,93,0,1,1,1,892.542485,"0.005245, 8.4154, 64.54628"
-908483.0555555555,1843,0,1,1,1,33389.552485,"0.005245, 8.4154, 64.54628"
-906592.1944444445,1431,0,1,1,1,22847.490125,"0.005245, 8.4154, 64.54628"
-905667.9166666666,42,0,1,1,1,427.24526000000003,"0.005245, 8.4154, 64.54628"
-905381.1388888889,41,0,1,1,1,418.39452500000004,"0.005245, 8.4154, 64.54628"
-904838.4722222222,1820,0,1,1,1,32754.112279999998,"0.005245, 8.4154, 64.54628"
-903113.8055555555,190,0,1,1,1,1852.8167799999999,"0.005245, 8.4154, 64.54628"
-902764.2222222222,1808,0,1,1,1,32424.78116,"0.005245, 8.4154, 64.54628"
-902750.1388888889,236,0,1,1,1,2342.7062,"0.005245, 8.4154, 64.54628"
-900910.0833333334,236,0,1,1,1,2342.7062,"0.005245, 8.4154, 64.54628"
-900707.9166666666,30,0,1,1,1,321.72878000000003,"0.005245, 8.4154, 64.54628"
-900212.0277777778,45,0,1,1,1,453.860405,"0.005245, 8.4154, 64.54628"
-900062.5555555555,41,0,1,1,1,418.39452500000004,"0.005245, 8.4154, 64.54628"
-899628.25,957,0,1,1,1,12921.712085000001,"0.005245, 8.4154, 64.54628"
-898609.3333333334,71,0,1,1,1,688.4797249999999,"0.005245, 8.4154, 64.54628"
-896127.8888888889,235,0,1,1,1,2331.820405,"0.005245, 8.4154, 64.54628"
-895478.8611111111,305,0,1,1,1,3119.159405,"0.005245, 8.4154, 64.54628"
-894139.1111111111,44,0,1,1,1,444.9782,"0.005245, 8.4154, 64.54628"
-891241.8055555555,148,0,1,1,1,1424.91196,"0.005245, 8.4154, 64.54628"
-890903.9444444445,1817,0,1,1,1,32671.637884999996,"0.005245, 8.4154, 64.54628"
-890054.1666666666,89,0,1,1,1,855.062525,"0.005245, 8.4154, 64.54628"
-889889.9722222222,53,0,1,1,1,525.295685,"0.005245, 8.4154, 64.54628"
-886898.5833333334,1770,0,1,1,1,31391.86478,"0.005245, 8.4154, 64.54628"
-883267.5833333334,1560,0,1,1,1,25956.80228,"0.005245, 8.4154, 64.54628"
-881966.6944444445,152,0,1,1,1,1464.86756,"0.005245, 8.4154, 64.54628"
-878620.1944444445,52,0,1,1,1,516.32956,"0.005245, 8.4154, 64.54628"
-878127.8333333334,83,0,1,1,1,799.157285,"0.005245, 8.4154, 64.54628"
-874515.3611111111,26,0,1,1,1,286.8923,"0.005245, 8.4154, 64.54628"
-873234.3055555555,36,0,1,1,1,374.29820000000007,"0.005245, 8.4154, 64.54628"
-872724.0833333334,23,0,1,1,1,260.875085,"0.005245, 8.4154, 64.54628"
-871418.9166666666,672,0,1,1,1,8088.253159999999,"0.005245, 8.4154, 64.54628"
-870125.4722222222,29,0,1,1,1,313.003925,"0.005245, 8.4154, 64.54628"
-869495.25,1545,0,1,1,1,25586.285405,"0.005245, 8.4154, 64.54628"
-868760.3888888889,54,0,1,1,1,534.2723,"0.005245, 8.4154, 64.54628"
-866254.5833333334,1730,0,1,1,1,30320.948779999995,"0.005245, 8.4154, 64.54628"
-858675.8888888889,30,0,1,1,1,321.72878000000003,"0.005245, 8.4154, 64.54628"
-856765.0,25,0,1,1,1,278.20940499999995,"0.005245, 8.4154, 64.54628"
