,lat,lon,alt,mlat,time,countrate
GRB180720,36.5675,-157.4039,410.3811,37.7022,2018-07-20T14:21:28.515,0
GRB181222,51.2343,-149.5426,410.4478,52.4233,2018-12-22T20:08:43.576,9334
GRB190206,-47.7181,38.54702,422.0741,-53.9144,2019-02-06T03:51:38.525,10762
GRB190305,21.8858,-41.7615,408.3352,23.7646,2019-03-05T13:06:52.816,4194
GRB190606,-34.1811,100.9802,421.5565,-47.4887,2019-06-06T01:55:06.950,7534
GRB200415,-39.318,-176.2841,434.4084,-45.2905,2020-04-15T08:48:05.528,6577
GRB200521,-4.7925,53.3727,419.05576,-18.9912,2020-05-21T12:16:39.818,3000
GRB200716,36.4014,-42.7252,420.6514,38.4307,2020-07-16T22:57:40.634,4758
GRB201227,16.3297,-46.29229,418.2573,20.8089,2020-12-27T15:14:06.853,2729
GRB210424,-38.5636,-122.4411,430.2817,-35.0397,2021-04-24T08:00:34.997,4550
GRB210619,34.8569,94.85486,420.9699,32.8849,2021-06-19T23:55:59.915,3843
GRB211211,47.0457,29.24223,427.7756,44.4038,2021-12-11T13:11:21.323,6081
