       Ti        Tf      G1      G2      G3
   -0.512    -0.496   20.15    6.02    2.01
   -0.496    -0.480   14.07    9.03    3.01
   -0.480    -0.464   11.04    3.02    0.00
   -0.464    -0.448   20.14    9.04    1.00
   -0.448    -0.432   19.09    3.01    2.01
   -0.432    -0.416   24.18   14.08    2.01
   -0.416    -0.400   14.07    7.03    4.02
   -0.400    -0.384   16.09    2.00    3.01
   -0.384    -0.368   19.15    8.05    6.04
   -0.368    -0.352   10.04    5.02    4.02
   -0.352    -0.336   16.08    4.02    4.01
   -0.336    -0.320   25.21    7.02    1.00
   -0.320    -0.304   19.13    4.01    6.03
   -0.304    -0.288   27.25    9.07    3.01
   -0.288    -0.272   21.13    9.04    4.02
   -0.272    -0.256   21.16   17.11    3.01
   -0.256    -0.240   22.14    6.03    2.01
   -0.240    -0.224   21.18   17.11    4.02
   -0.224    -0.208   19.11   10.06    0.00
   -0.208    -0.192   20.14    6.03    6.03
   -0.192    -0.176   22.16   16.11    1.00
   -0.176    -0.160   16.09    7.04    3.01
   -0.160    -0.144   10.05   14.07    4.02
   -0.144    -0.128   18.13   11.06    5.02
   -0.128    -0.112   16.10   16.10    3.01
   -0.112    -0.096   20.16   14.07    0.00
   -0.096    -0.080   26.20    9.06    4.02
   -0.080    -0.064   24.24   18.15    4.01
   -0.064    -0.048   31.34   10.06    5.03
   -0.048    -0.032   27.27   23.18    2.01
   -0.032    -0.016   21.21   17.13    9.06
   -0.016     0.000   36.55   20.22   17.12
    0.000     0.016   26.29   25.24   11.08
    0.016     0.032   30.34   20.16    7.03
    0.032     0.048   18.18   25.24    9.04
    0.048     0.064   19.30   34.59   18.16
    0.064     0.080   36.48   27.26   10.04
    0.080     0.096   18.23   33.47   19.14
    0.096     0.112   44.93   50.94   19.20
    0.112     0.128   39.23   90.95   38.70
    0.128     0.144   38.12   88.09   41.75
    0.144     0.160   39.28   79.71   46.79
    0.160     0.176   53.22   70.65   10.06
    0.176     0.192   50.86   29.34   10.05
    0.192     0.208   42.77   42.62   10.07
    0.208     0.224   45.06   68.52   18.15
    0.224     0.240   48.22   71.69   16.10
    0.240     0.256   49.05   67.50    8.04
    0.256     0.272   49.21   59.11   11.08
    0.272     0.288   50.76   33.28    0.00
    0.288     0.304   44.58   16.11    5.02
    0.304     0.320   35.48   27.30    6.02
    0.320     0.336   22.18   12.07    3.01
    0.336     0.352   30.30   17.09    2.01
    0.352     0.368   31.29   11.07    3.01
    0.368     0.384   27.22   14.08    1.00
    0.384     0.400   23.18   12.08    3.01
    0.400     0.416   22.18    7.03    3.01
    0.416     0.432   22.15    5.02    2.01
    0.432     0.448   24.14    4.01    1.00
    0.448     0.464   16.10    5.03    5.03
    0.464     0.480   26.24   10.06    6.03
    0.480     0.496   18.09    4.01    2.01
    0.496     0.512   24.22   10.05    3.01
    0.512     0.528   19.10    6.02    5.01
    0.528     0.544   10.04    6.02    4.01
    0.544     0.560   25.15    9.02    1.00
    0.560     0.576   19.10   11.03    1.00
    0.576     0.592   18.12   17.09    3.00
    0.592     0.608   35.96   32.30    5.01
    0.608     0.624   27.21   16.07    1.00
    0.624     0.640   21.14   15.07    3.00
    0.640     0.656   24.15    9.02    2.00
    0.656     0.672   29.22   13.05    1.00
    0.672     0.688   29.20   10.03    1.00
    0.688     0.704   18.09   11.03    0.00
    0.704     0.720   25.17    8.03    5.01
    0.720     0.736   28.19    7.02    3.00
    0.736     0.752   23.13    7.02    2.00
    0.752     0.768   22.13   10.03    1.00
    0.768     0.784   27.17    6.01    3.00
    0.784     0.800   28.18    6.01    2.00
    0.800     0.816   24.15    8.02    4.01
    0.816     0.832   23.15   12.04    1.00
    0.832     0.848   28.19    9.02    1.00
    0.848     0.864   20.13   15.07    3.00
    0.864     0.880   31.25   12.05    3.00
    0.880     0.896   24.16   13.05    2.00
    0.896     0.912   13.07   11.04    5.01
    0.912     0.928   13.07   15.07    3.00
    0.928     0.944   15.05    2.00    3.00
    0.944     0.960   27.18    9.02    1.00
    0.960     0.976   29.25   15.07    4.01
    0.976     0.992   22.14    9.03    4.01
    0.992     1.008   24.17   16.07    1.00
    1.008     1.024   18.08    4.01    3.00
    1.024     1.040   19.09    5.01    3.00
    1.040     1.056   25.16   10.03    1.00
    1.056     1.072   21.10    3.00    3.00
    1.072     1.088   21.11    5.01    5.01
    1.088     1.104   25.17   12.04    2.00
    1.104     1.120   16.08   10.03    2.00
    1.120     1.136   16.08    7.02    5.01
    1.136     1.152   17.08    7.02    3.00
    1.152     1.168   16.06    5.01    2.00
    1.168     1.184   30.21    6.01    3.00
    1.184     1.200   23.12    6.01    1.00
    1.200     1.216   19.11   10.03    3.00
    1.216     1.232   26.18   11.04    3.00
    1.232     1.248   21.12    7.02    4.01
    1.248     1.264   26.16    6.01    3.00
    1.264     1.280   17.07    6.01    0.00
    1.280     1.296   17.07    4.01    3.00
    1.296     1.312   14.06    7.02    3.00
    1.312     1.328    9.03    7.02    4.01
    1.328     1.344   19.09    6.01    3.00
    1.344     1.360   22.10    4.01    1.00
    1.360     1.376   17.08    7.02    4.01
    1.376     1.392   17.08    9.02    0.00
    1.392     1.408   35.77    4.01    4.01
    1.408     1.424    9.03    6.01    3.00
    1.424     1.440   15.06    4.01    2.00
    1.440     1.456   12.04    4.01    3.00
    1.456     1.472   15.08    8.03    6.01
    1.472     1.488   24.14    8.02    0.00
    1.488     1.504   23.14    8.02    4.01
    1.504     1.520   24.14    6.02    4.01
    1.520     1.536   18.10   10.04    4.01
    1.536     1.552   17.07    6.01    1.00
    1.552     1.568   21.10    4.01    1.00
    1.568     1.584   17.09    9.03    4.01
    1.584     1.600   15.05    4.01    1.00
    1.600     1.616   18.09    7.02    3.00
    1.616     1.632   19.09    5.01    3.00
    1.632     1.648   14.06    9.02    1.00
    1.648     1.664   16.06    5.01    1.00
    1.664     1.680   20.10    7.01    1.00
    1.680     1.696   18.09    8.02    2.00
