       Ti        Tf      G1      G2      G3
   -0.512    -0.510    2.01    0.00    1.00
   -0.510    -0.508    2.01    0.00    2.01
   -0.508    -0.506    4.03    1.00    0.00
   -0.506    -0.504    0.00    1.00    0.00
   -0.504    -0.502    1.00    0.00    0.00
   -0.502    -0.500    1.00    1.00    1.00
   -0.500    -0.498    2.01    0.00    0.00
   -0.498    -0.496    5.04    1.00    0.00
   -0.496    -0.494    1.01    2.01    1.00
   -0.494    -0.492    2.01    0.00    0.00
   -0.492    -0.490    0.00    1.00    0.00
   -0.490    -0.488    0.00    0.00    2.01
   -0.488    -0.486    5.06    3.02    0.00
   -0.486    -0.484    3.01    0.00    0.00
   -0.484    -0.482    3.01    0.00    0.00
   -0.482    -0.480    1.01    3.03    2.01
   -0.480    -0.478    1.01    2.01    1.00
   -0.478    -0.476    0.00    0.00    0.00
   -0.476    -0.474    0.00    0.00    0.00
   -0.474    -0.472    1.00    2.01    0.00
   -0.472    -0.470    5.04    0.00    1.00
   -0.470    -0.468    0.00    1.00    0.00
   -0.468    -0.466    0.00    0.00    1.00
   -0.466    -0.464    2.01    0.00    0.00
   -0.464    -0.462    2.01    1.00    1.00
   -0.462    -0.460    1.00    0.00    0.00
   -0.460    -0.458    3.01    0.00    0.00
   -0.458    -0.456    1.00    0.00    0.00
   -0.456    -0.454    1.00    2.01    0.00
   -0.454    -0.452    2.01    1.00    1.00
   -0.452    -0.450    1.00    0.00    1.00
   -0.450    -0.448    0.00    1.00    1.00
   -0.448    -0.446    2.01    0.00    0.00
   -0.446    -0.444    0.00    1.00    0.00
   -0.444    -0.442    3.01    0.00    0.00
   -0.442    -0.440    0.00    3.02    1.00
   -0.440    -0.438    2.01    0.00    0.00
   -0.438    -0.436    3.02    1.00    1.00
   -0.436    -0.434    3.02    0.00    2.01
   -0.434    -0.432    2.01    0.00    0.00
   -0.432    -0.430    1.00    1.00    1.00
   -0.430    -0.428    0.00    1.00    1.00
   -0.428    -0.426    0.00    0.00    0.00
   -0.426    -0.424    2.01    0.00    1.00
   -0.424    -0.422    2.01    0.00    0.00
   -0.422    -0.420    1.00    0.00    0.00
   -0.420    -0.418    2.01    0.00    0.00
   -0.418    -0.416    1.00    0.00    0.00
   -0.416    -0.414    0.00    1.00    0.00
   -0.414    -0.412    1.00    0.00    1.00
   -0.412    -0.410    2.01    1.01    2.01
   -0.410    -0.408    0.00    1.01    2.01
   -0.408    -0.406    1.00    1.00    0.00
   -0.406    -0.404    2.01    1.00    0.00
   -0.404    -0.402    4.02    0.00    0.00
   -0.402    -0.400    1.01    1.01    2.01
   -0.400    -0.398    1.00    0.00    0.00
   -0.398    -0.396    3.01    0.00    0.00
   -0.396    -0.394    4.02    0.00    0.00
   -0.394    -0.392    3.01    0.00    0.00
   -0.392    -0.390    4.03    0.00    1.00
   -0.390    -0.388    2.01    0.00    0.00
   -0.388    -0.386    3.01    0.00    0.00
   -0.386    -0.384    1.00    1.00    0.00
   -0.384    -0.382    3.02    1.00    1.00
   -0.382    -0.380    5.04    0.00    1.00
   -0.380    -0.378    1.00    0.00    1.00
   -0.378    -0.376    2.01    1.00    1.00
   -0.376    -0.374    3.03    3.02    0.00
   -0.374    -0.372    1.00    0.00    0.00
   -0.372    -0.370    4.02    0.00    0.00
   -0.370    -0.368    1.00    1.00    0.00
   -0.368    -0.366    2.01    1.00    0.00
   -0.366    -0.364    3.03    4.03    0.00
   -0.364    -0.362    3.01    0.00    0.00
   -0.362    -0.360    2.01    1.00    1.00
   -0.360    -0.358    1.00    1.00    0.00
   -0.358    -0.356    2.01    2.01    1.00
   -0.356    -0.354    1.01    2.01    1.00
   -0.354    -0.352    3.01    0.00    0.00
   -0.352    -0.350    3.02    1.00    0.00
   -0.350    -0.348    1.00    2.01    0.00
   -0.348    -0.346    1.00    0.00    0.00
   -0.346    -0.344    4.02    0.00    0.00
   -0.344    -0.342    0.00    0.00    0.00
   -0.342    -0.340    2.01    1.00    0.00
   -0.340    -0.338    1.00    1.00    1.00
   -0.338    -0.336    4.03    0.00    1.00
   -0.336    -0.334    1.00    0.00    0.00
   -0.334    -0.332    2.01    0.00    1.00
   -0.332    -0.330    0.00    0.00    1.00
   -0.330    -0.328    1.00    0.00    1.00
   -0.328    -0.326    0.00    0.00    1.00
   -0.326    -0.324    2.01    2.01    0.00
   -0.324    -0.322    4.02    0.00    0.00
   -0.322    -0.320    2.01    0.00    2.01
   -0.320    -0.318    1.00    1.00    1.00
   -0.318    -0.316    6.06    0.00    1.00
   -0.316    -0.314    0.00    0.00    0.00
   -0.314    -0.312    1.00    2.01    0.00
   -0.312    -0.310    2.01    0.00    0.00
   -0.310    -0.308    2.01    0.00    0.00
   -0.308    -0.306    2.01    0.00    2.01
   -0.306    -0.304    0.00    0.00    2.01
   -0.304    -0.302    3.02    1.00    0.00
   -0.302    -0.300    2.01    1.00    0.00
   -0.300    -0.298    2.01    1.00    0.00
   -0.298    -0.296    2.01    1.01    2.01
   -0.296    -0.294    0.00    0.00    0.00
   -0.294    -0.292    1.00    0.00    0.00
   -0.292    -0.290    3.03    1.01    2.01
   -0.290    -0.288    3.02    0.00    1.00
   -0.288    -0.286    2.01    0.00    1.00
   -0.286    -0.284    3.01    0.00    0.00
   -0.284    -0.282    2.01    1.00    0.00
   -0.282    -0.280    1.00    2.01    0.00
   -0.280    -0.278    1.00    2.01    0.00
   -0.278    -0.276    2.01    0.00    0.00
   -0.276    -0.274    0.00    1.00    0.00
   -0.274    -0.272    3.01    0.00    0.00
   -0.272    -0.270    0.00    0.00    0.00
   -0.270    -0.268    3.02    1.00    0.00
   -0.268    -0.266    2.01    0.00    0.00
   -0.266    -0.264    2.01    0.00    1.00
   -0.264    -0.262    3.01    0.00    0.00
   -0.262    -0.260    3.01    0.00    0.00
   -0.260    -0.258    4.02    0.00    0.00
   -0.258    -0.256    1.00    0.00    0.00
   -0.256    -0.254    1.00    1.00    1.00
   -0.254    -0.252    1.00    1.00    1.00
   -0.252    -0.250    0.00    0.00    0.00
   -0.250    -0.248    3.01    0.00    0.00
   -0.248    -0.246    2.01    1.00    0.00
   -0.246    -0.244    4.03    0.00    1.00
   -0.244    -0.242    1.01    3.02    0.00
   -0.242    -0.240    3.03    2.01    1.00
   -0.240    -0.238    1.01    1.01    2.01
   -0.238    -0.236    2.01    0.00    0.00
   -0.236    -0.234    1.00    0.00    0.00
   -0.234    -0.232    1.00    0.00    0.00
   -0.232    -0.230    1.00    2.01    0.00
   -0.230    -0.228    3.02    2.01    0.00
   -0.228    -0.226    0.00    1.00    1.00
   -0.226    -0.224    3.03    2.01    1.00
   -0.224    -0.222    2.01    0.00    1.00
   -0.222    -0.220    4.03    1.00    1.00
   -0.220    -0.218    0.00    2.01    1.00
   -0.218    -0.216    1.00    0.00    1.00
   -0.216    -0.214    1.00    0.00    0.00
   -0.214    -0.212    2.01    0.00    0.00
   -0.212    -0.210    0.00    0.00    0.00
   -0.210    -0.208    2.01    0.00    0.00
   -0.208    -0.206    0.00    0.00    0.00
   -0.206    -0.204    1.00    0.00    0.00
   -0.204    -0.202    0.00    1.00    0.00
   -0.202    -0.200    0.00    4.03    0.00
   -0.200    -0.198    4.03    0.00    1.00
   -0.198    -0.196    1.00    2.01    0.00
   -0.196    -0.194    1.00    0.00    0.00
   -0.194    -0.192    4.03    1.00    0.00
   -0.192    -0.190    1.00    0.00    0.00
   -0.190    -0.188    2.01    0.00    0.00
   -0.188    -0.186    0.00    1.00    1.00
   -0.186    -0.184    1.00    1.00    0.00
   -0.184    -0.182    1.00    0.00    1.00
   -0.182    -0.180    2.01    1.00    1.00
   -0.180    -0.178    1.00    0.00    2.01
   -0.178    -0.176    1.00    1.00    0.00
   -0.176    -0.174    1.00    0.00    0.00
   -0.174    -0.172    2.01    2.01    0.00
   -0.172    -0.170    0.00    1.00    1.00
   -0.170    -0.168    2.01    1.00    0.00
   -0.168    -0.166    2.01    2.01    0.00
   -0.166    -0.164    3.02    1.00    1.00
   -0.164    -0.162    2.01    0.00    1.00
   -0.162    -0.160    2.01    2.01    0.00
   -0.160    -0.158    3.02    2.01    0.00
   -0.158    -0.156    1.00    1.00    1.00
   -0.156    -0.154    0.00    0.00    0.00
   -0.154    -0.152    2.01    1.00    1.00
   -0.152    -0.150    1.00    0.00    0.00
   -0.150    -0.148    2.02    1.01    3.02
   -0.148    -0.146    1.00    0.00    0.00
   -0.146    -0.144    2.02    3.02    1.00
   -0.144    -0.142    2.01    0.00    0.00
   -0.142    -0.140    3.01    0.00    0.00
   -0.140    -0.138    1.01    2.01    1.00
   -0.138    -0.136    1.00    0.00    0.00
   -0.136    -0.134    3.02    0.00    1.00
   -0.134    -0.132    4.03    1.00    1.00
   -0.132    -0.130    0.00    1.00    0.00
   -0.130    -0.128    2.01    0.00    1.00
   -0.128    -0.126    2.01    1.00    1.00
   -0.126    -0.124    3.02    0.00    2.01
   -0.124    -0.122    1.00    0.00    1.00
   -0.122    -0.120    5.04    0.00    0.00
   -0.120    -0.118    3.02    1.00    0.00
   -0.118    -0.116    2.01    1.00    0.00
   -0.116    -0.114    3.02    1.00    0.00
   -0.114    -0.112    1.00    1.00    1.00
   -0.112    -0.110    3.02    1.00    0.00
   -0.110    -0.108    2.01    1.01    2.01
