       Ti        Tf      G1      G2      G3
   -0.512    -0.496   20.12    6.02    2.01
   -0.496    -0.480   15.07    3.01    2.01
   -0.480    -0.464   23.12    3.01    1.00
   -0.464    -0.448   22.17    7.03    6.03
   -0.448    -0.432   20.11    5.01    2.01
   -0.432    -0.416   13.08    9.03    2.01
   -0.416    -0.400   20.13    3.01    0.00
   -0.400    -0.384   16.09    7.03    3.01
   -0.384    -0.368   13.06    4.01    2.01
   -0.368    -0.352   17.10    8.04    3.01
   -0.352    -0.336   15.06    4.02    1.00
   -0.336    -0.320   23.17    8.04    4.02
   -0.320    -0.304   16.11    6.02    4.02
   -0.304    -0.288   23.11    2.00    0.00
   -0.288    -0.272   12.05    8.03    2.01
   -0.272    -0.256   17.09    7.03    3.01
   -0.256    -0.240   18.10    6.02    1.00
   -0.240    -0.224   10.04    5.02    3.01
   -0.224    -0.208   21.14    8.03    2.01
   -0.208    -0.192   21.11    5.02    3.01
   -0.192    -0.176   13.06    5.02    3.01
   -0.176    -0.160   17.08    4.01    3.01
   -0.160    -0.144   11.07   10.07    4.01
   -0.144    -0.128   20.15    9.03    3.01
   -0.128    -0.112   20.15   13.08    6.03
   -0.112    -0.096   25.22   12.07    6.03
   -0.096    -0.080   25.27   20.19   10.05
   -0.080    -0.064   18.12   12.06    7.04
   -0.064    -0.048   26.22   11.06    6.02
   -0.048    -0.032   19.17   19.14    5.02
   -0.032    -0.016   16.20   26.32   13.08
   -0.016     0.000   32.41   24.22    7.03
    0.000     0.016   34.42   22.23    9.05
    0.016     0.032   30.42   22.26   15.10
    0.032     0.048   33.42   24.24    9.05
    0.048     0.064   30.36   19.16   12.07
    0.064     0.080   36.62   35.58   13.07
    0.080     0.096   30.46   33.49   15.13
    0.096     0.112   31.57   52.04   16.10
    0.112     0.128   48.93   34.58   22.22
    0.128     0.144   35.69   46.85   19.15
    0.144     0.160   43.95   51.98   18.17
    0.160     0.176   43.15   78.36   27.29
    0.176     0.192   56.50   72.88   25.23
    0.192     0.208   47.19   58.33   32.44
    0.208     0.224   38.97   69.81   32.40
    0.224     0.240   53.49   76.16   29.35
    0.240     0.256   58.71   80.16   26.26
    0.256     0.272   45.49   98.37   39.69
    0.272     0.288   76.53   78.14   29.39
    0.288     0.304   58.07  112.43   41.64
    0.304     0.320   62.16   83.72   41.56
    0.320     0.336   74.98  126.91   29.31
    0.336     0.352   63.31  102.73   36.50
    0.352     0.368   72.97  123.07   41.60
    0.368     0.384   78.38  118.90   48.03
    0.384     0.400   77.31  116.82   42.70
    0.400     0.416   72.98  117.62   37.63
    0.416     0.432  106.56  140.02   59.22
    0.432     0.448   93.71  157.12   46.81
    0.448     0.464  107.84  163.74   52.08
    0.464     0.480   98.60  183.46   48.80
    0.480     0.496   92.54  148.14   51.93
    0.496     0.512  101.52  164.06   56.22
    0.512     0.528  105.33  172.88   54.45
    0.528     0.544  123.65  217.71   58.59
    0.544     0.560  115.95  259.55   71.11
    0.560     0.576  132.91  210.27   87.94
    0.576     0.592  134.58  279.77   94.30
    0.592     0.608  160.67  251.70   92.18
    0.608     0.624  147.12  243.76   94.30
    0.624     0.640  129.92  261.68  102.83
    0.640     0.656  152.19  279.01   83.72
    0.656     0.672  153.07  307.73   90.06
    0.672     0.688  183.23  260.54   85.83
    0.688     0.704  152.38  270.75   99.09
    0.704     0.720  165.61  261.43   99.09
    0.720     0.736  165.66  279.01   83.72
    0.736     0.752  168.30  231.66   64.84
    0.752     0.768  156.14  260.26   81.61
    0.768     0.784  183.51  287.27   69.01
    0.784     0.800  169.32  251.02   81.61
    0.800     0.816  151.67  286.34   56.52
    0.816     0.832  169.13  259.27   66.92
    0.832     0.848  155.16  241.79   62.75
    0.848     0.864  187.10  259.27   66.92
    0.864     0.880  169.26  259.55   71.11
    0.880     0.896  182.42  242.70   77.40
    0.896     0.912  182.04  249.53   58.59
    0.912     0.928  151.32  250.74   77.40
    0.928     0.944  182.81  268.37   64.84
    0.944     0.960  178.10  250.61   75.30
    0.960     0.976  192.64  287.43   71.11
    0.976     0.992  182.11  232.41   77.40
    0.992     1.008  173.51  242.83   79.50
    1.008     1.024  164.22  258.29   52.38
    1.024     1.040  155.31  232.41   77.40
    1.040     1.056  182.39  258.85   60.67
    1.056     1.072  176.49  213.20   58.59
    1.072     1.088  186.46  236.47   69.01
    1.088     1.104  194.05  204.21   58.59
    1.104     1.120  158.98  222.22   58.59
    1.120     1.136  159.10  226.75   58.59
    1.136     1.152  150.13  222.22   58.59
    1.152     1.168  174.97  176.83   44.12
    1.168     1.184  163.29  217.71   58.59
    1.184     1.200  172.50  226.87   60.67
    1.200     1.216  163.29  213.43   62.75
    1.216     1.232  181.94  241.79   62.75
    1.232     1.248  150.87  249.66   60.67
    1.248     1.264  186.85  242.57   75.30
    1.264     1.280  164.15  258.15   50.31
    1.280     1.296  164.34  249.93   64.84
    1.296     1.312  174.28  278.10   71.11
    1.312     1.328  147.38  269.39   79.50
    1.328     1.344  185.61  217.82   60.67
    1.344     1.360  173.74  259.55   71.11
    1.360     1.376  182.63  243.10   83.72
    1.376     1.392  190.56  241.14   52.38
    1.392     1.408  200.50  258.99   62.75
    1.408     1.424  182.04  249.53   58.59
    1.424     1.440  200.42  258.85   60.67
    1.440     1.456  168.49  249.26   54.45
    1.456     1.472  164.72  259.41   69.01
    1.472     1.488  199.28  231.04   54.45
    1.488     1.504  154.26  213.08   56.52
    1.504     1.520  163.29  226.26   50.31
    1.520     1.536  180.53  208.26   50.31
    1.536     1.552  163.16  226.02   46.18
    1.552     1.568  163.60  235.45   52.38
    1.568     1.584  190.09  226.38   52.38
    1.584     1.600  167.79  222.10   56.52
    1.600     1.616  175.56  198.89   42.07
    1.616     1.632  190.23  230.91   52.38
    1.632     1.648  167.92  226.63   56.52
    1.648     1.664  195.53  258.15   50.31
    1.664     1.680  191.17  249.80   62.75
    1.680     1.696  190.59  248.72   46.18
    1.696     1.712  208.84  249.13   52.38
    1.712     1.728  173.09  249.53   58.59
    1.728     1.744  195.53  266.77   42.07
    1.744     1.760  204.01  231.41   60.67
    1.760     1.776  168.74  258.43   54.45
    1.776     1.792  164.03  257.87   46.18
    1.792     1.808  172.56  222.70   66.92
    1.808     1.824  167.22  216.78   42.07
    1.824     1.840  194.64  230.79   50.31
    1.840     1.856  181.01  226.14   48.24
    1.856     1.872  181.15  222.10   56.52
    1.872     1.888  212.07  225.66   40.01
    1.888     1.904  162.92  217.01   46.18
    1.904     1.920  146.13  241.40   56.52
    1.920     1.936  170.57  193.74   28.26
    1.936     1.952  188.21  189.47   31.32
    1.952     1.968  144.89  207.70   40.01
    1.968     1.984  197.85  198.99   44.12
    1.984     2.000  158.08  211.95   35.91
    2.000     2.016  165.97  172.33   42.07
    2.016     2.032  166.59  190.20   46.18
    2.032     2.048  153.28  194.23   37.96
    2.048     2.064  165.91  176.46   35.91
    2.064     2.080  170.11  163.56   42.07
    2.080     2.096  160.98  154.65   37.96
    2.096     2.112  156.85  159.18   42.07
    2.112     2.128  139.38  175.92   24.19
    2.128     2.144  134.61  150.05   31.32
    2.144     2.160  134.00  132.45   22.16
    2.160     2.176  139.33  167.43   30.30
    2.176     2.192  157.20  172.33   42.07
    2.192     2.208  130.44  158.66   29.28
    2.208     2.224  147.42  145.60   28.26
    2.224     2.240  147.15  132.73   30.30
    2.240     2.256  151.82  149.85   26.22
    2.256     2.272  129.98  149.54   18.11
    2.272     2.288  125.66  141.16   25.20
    2.288     2.304  129.79  128.43   30.30
    2.304     2.320  147.37  153.87   18.11
    2.320     2.336  160.31  141.24   27.24
    2.336     2.352  138.38  136.71   21.14
    2.352     2.368  143.01  158.00   13.06
    2.368     2.384  147.45  149.81   25.20
    2.384     2.400  138.20  128.16   22.16
    2.400     2.416  130.42  154.43   32.34
    2.416     2.432  125.80  145.56   27.24
    2.432     2.448  121.85  167.13   23.17
    2.448     2.464  152.75  180.65   31.32
    2.464     2.480  151.98  150.08   32.34
    2.480     2.496  139.16  150.38   40.01
    2.496     2.512  139.07  158.62   28.26
    2.512     2.528  143.54  167.21   25.20
    2.528     2.544  157.37  185.27   35.91
    2.544     2.560  113.55  171.97   33.87
    2.560     2.576  153.16  194.03   33.87
    2.576     2.592  154.20  221.51   46.18
    2.592     2.608  165.91  163.81   48.24
    2.608     2.624  157.73  185.86   48.24
    2.624     2.640  153.05  172.70   50.31
    2.640     2.656  179.85  202.91   33.87
    2.656     2.672  158.32  216.66   40.01
    2.672     2.688  153.85  220.80   33.87
    2.688     2.704  165.91  172.24   40.01
    2.704     2.720  136.49  208.48   54.45
    2.720     2.736  161.41  176.29   32.34
    2.736     2.752  162.26  211.53   28.26
    2.752     2.768  152.59  167.76   37.96
    2.768     2.784  170.49  180.95   37.96
    2.784     2.800  156.50  154.49   33.87
    2.800     2.816  161.14  167.48   31.32
    2.816     2.832  152.14  150.30   37.96
    2.832     2.848  122.15  171.90   32.34
    2.848     2.864  143.17  149.89   27.24
    2.864     2.880  151.79  145.63   29.28
    2.880     2.896  138.28  132.42   21.14
    2.896     2.912  147.42  145.60   28.26
    2.912     2.928  147.47  154.03   22.16
    2.928     2.944  121.03  128.16   22.16
    2.944     2.960  155.70  132.59   26.22
    2.960     2.976  142.48  119.83   29.28
    2.976     2.992  125.99  145.88   35.91
    2.992     3.008  134.59  154.19   26.22
    3.008     3.024  125.10  115.44   25.20
    3.024     3.040  134.02  132.48   23.17
    3.040     3.056  150.92  123.75   18.11
    3.056     3.072  142.19  115.35   22.16
    3.072     3.088  146.23  102.67   24.19
    3.088     3.104  103.56  115.08   13.06
    3.104     3.120  116.54  115.41   24.19
    3.120     3.136  112.34  123.79   19.12
    3.136     3.152  103.84  115.53   28.26
    3.152     3.168  116.47  111.18   25.20
    3.168     3.184  111.99  106.74   18.11
    3.184     3.200  103.26   89.94   21.14
    3.200     3.216  116.43  115.26   19.12
    3.216     3.232  111.89  106.60   13.06
    3.232     3.248  116.24  106.74   18.11
    3.248     3.264  111.44   87.57    9.03
    3.264     3.280  107.49   96.11   15.07
    3.280     3.296  132.41   71.00   15.07
    3.296     3.312  107.35   81.57   22.16
    3.312     3.328  107.68  102.54   19.12
    3.328     3.344   99.71  102.48   17.09
