       Ti        Tf      G1      G2      G3
   -0.512    -0.496   15.36  127.38    4.02
   -0.496    -0.480   18.32   65.82    6.02
   -0.480    -0.464   11.06    7.03    4.02
   -0.464    -0.448   13.11   46.15    4.01
   -0.448    -0.432   17.17   25.56    4.02
   -0.432    -0.416   14.07    3.01    4.03
   -0.416    -0.400   13.35  127.39    5.02
   -0.400    -0.384   18.09    5.01    3.01
   -0.384    -0.368   19.27   49.17    3.01
   -0.368    -0.352   12.20   47.16    5.01
   -0.352    -0.336   17.10    5.01    2.01
   -0.336    -0.320   11.19   64.69    4.01
   -0.320    -0.304   22.14    6.02    3.01
   -0.304    -0.288   12.12   66.74    4.01
   -0.288    -0.272   16.37   88.88   28.14
   -0.272    -0.256   15.17   25.76   29.86
   -0.256    -0.240   21.62  144.86    2.01
   -0.240    -0.224   21.36   65.65    1.00
   -0.224    -0.208   25.29   49.16    2.01
   -0.208    -0.192    9.07   27.59    5.02
   -0.192    -0.176   15.09    8.04    5.01
   -0.176    -0.160   16.10    9.03    0.00
   -0.160    -0.144   16.08    6.02    3.01
   -0.144    -0.128   20.13    8.03    2.01
   -0.128    -0.112   20.11    5.02    1.00
   -0.112    -0.096   25.59  105.82    5.02
   -0.096    -0.080   16.34  104.86    4.01
   -0.080    -0.064   19.26   46.24    8.04
   -0.064    -0.048   16.11   15.10    3.01
   -0.048    -0.032   24.25   15.14   18.13
   -0.032    -0.016   23.35   38.63   10.04
   -0.016     0.000   40.76   35.56   21.21
    0.000     0.016   33.57   31.47   24.20
    0.016     0.032   39.90   51.00   25.26
    0.032     0.048   50.31   68.81   27.29
    0.048     0.064   51.47   88.51   24.24
    0.064     0.080   51.41   77.05   25.23
    0.080     0.096   44.13   74.00   28.30
    0.096     0.112   70.44   87.76   38.61
    0.112     0.128   63.22  101.52   38.51
    0.128     0.144   66.38   97.39   39.60
    0.144     0.160   83.28   93.46   44.67
    0.160     0.176   90.89  109.34   47.81
    0.176     0.192   79.02  100.87   44.70
    0.192     0.208   72.80  106.73   32.39
    0.208     0.224   85.18  110.59   21.20
    0.224     0.240   63.11  100.49   34.46
    0.240     0.256   79.07  116.16   26.24
    0.256     0.272   73.63  107.63   28.36
    0.272     0.288   90.56  109.88   23.19
    0.288     0.304   71.60  108.65   25.30
    0.304     0.320   88.46  115.92   16.10
    0.320     0.336   78.49   93.48   14.13
    0.336     0.352   87.12  101.00   18.13
    0.352     0.368   83.00  109.50   18.16
    0.368     0.384  106.53  106.40   22.20
    0.384     0.400  109.21  143.21   28.30
    0.400     0.416  106.97  133.69   27.27
