,ipn new dt,trigB index,trigB dt
0,2018-07-20 14:21:39.000,[3368],['2018-07-20 14:21:47.559081'], "checked"
1,2018-08-07 02:19:37.824,[4561],['2018-08-07 02:19:38.545528'], "not checked. interesting"
2,2018-09-10 03:44:15.315,[11365],['2018-09-10 03:44:06.627768'], "checked"
3,2018-11-03 04:22:30.000,[21262],['2018-11-03 04:22:34.566131'], "not checked. ok"
4,2018-12-22 20:11:34.563,[30144],['2018-12-22 20:11:37.041954'], "checked"
5,2019-03-05 13:05:15.900,[49414 49426],"['2019-03-05 13:05:20.268616', '2019-03-05 13:05:20.268616']", "checked"
6,2019-03-20 01:14:15.464,[52522 52537],"['2019-03-20 01:14:06.756410', '2019-03-20 01:14:06.756410']", not checked ok"
7,2019-03-23 21:05:19.785,[53366],['2019-03-23 21:05:18.504835'], "checked"
8,2019-04-04 07:01:14.501,[55094],['2019-04-04 07:01:06.305727'], "not checked. not in GCN archive"
9,2019-06-06 01:55:03.800,[61032],['2019-06-06 01:55:08.196334'], "checked"
10,2019-07-06 12:40:50.000,[64102],['2019-07-06 12:40:42.710687'], "not checked. ok"
11,2019-07-20 14:42:09.000,[65368],['2019-07-20 14:42:10.426611'], "checked"
12,2019-12-27 17:21:40.487,[78489],['2019-12-27 17:21:44.607113'], "checked"
13,2020-02-12 10:49:44.544,[81606],['2020-02-12 10:49:52.031887'], "checked"
14,2020-04-12 06:57:11.947,[87289 87290 87291 87292 87293 87294 87295],"['2020-04-12 06:57:14.462503', '2020-04-12 06:57:15.641967', '2020-04-12 06:57:16.642202', '2020-04-12 06:57:17.642416', '2020-04-12 06:57:18.643144', '2020-04-12 06:57:20.644679', '2020-04-12 06:57:21.645266']", "checked"
15,2020-05-21 12:16:41.000,[90870],['2020-05-21 12:16:40.872618'], "checked"
16,2020-06-19 11:48:42.574,[93488],['2020-06-19 11:48:43.440792'], "checked"
17,2020-07-16 22:57:38.337,[95954],['2020-07-16 22:57:41.254028'], "checked"
18,2020-09-03 02:34:27.000,[100167],['2020-09-03 02:34:36.014859'], "checked"
19,2020-09-25 21:50:37.000,[102247],['2020-09-25 21:50:32.133394'], "checked"
20,2020-12-23 17:58:06.750,[109860],['2020-12-23 17:58:10.850420'], "checked"
21,2020-12-27 15:14:06.705,[110050],['2020-12-27 15:14:07.576593'], "checked"
22,2021-04-11 13:32:31.065,[120380],['2021-04-11 13:32:31.214021'], "checked"
23,2021-06-19 23:59:25.000,[127675 127676 127677 127678 127679],"['2021-06-19 23:59:25.702600', '2021-06-19 23:59:26.702801', '2021-06-19 23:59:27.702908', '2021-06-19 23:59:28.702966', '2021-06-19 23:59:34.146762']", "checked"
24,2021-07-01 20:01:08.875,[128850],['2021-07-01 20:01:00.955314'], "checked"
25,2021-07-02 19:07:06.870,[128952 128953 128954],"['2021-07-02 19:07:09.621571', '2021-07-02 19:07:10.905895', '2021-07-02 19:07:12.592211']", "checked"
26,2021-07-24 20:14:09.000,[131382],['2021-07-24 20:14:03.797580'], "checked"
27,2021-09-03 17:26:56.349,[135871],['2021-09-03 17:26:59.216976'], "checked"
28,2021-11-18 23:38:13.000,[143610],['2021-11-18 23:38:04.925701'], "checked"
29,2021-12-11 13:09:59.000,[145972 145973 145974 145975],"['2021-12-11 13:10:01.545918', '2021-12-11 13:10:02.545997', '2021-12-11 13:10:05.732371', '2021-12-11 13:10:06.754758']", "checked"
