,ipn old dt,trigC index,trigC dt
0,2018-12-27 06:16:59,[11202],"[datetime.datetime(2018, 12, 27, 6, 17, 4, 210500)]"
1,2019-01-17 08:50:43,[12923],"[datetime.datetime(2019, 1, 17, 8, 50, 42, 939689)]"
2,2019-04-20 23:32:24,[20754],"[datetime.datetime(2019, 4, 20, 23, 32, 24, 931211)]"
3,2019-05-01 05:23:21,[21437],"[datetime.datetime(2019, 5, 1, 5, 23, 21, 736797)]"
4,2019-06-15 14:42:25,[23861],"[datetime.datetime(2019, 6, 15, 14, 42, 22, 741579)]"
5,2019-06-28 04:23:39,[24588],"[datetime.datetime(2019, 6, 28, 4, 23, 32, 512290)]"
6,2019-08-13 12:00:45,[27017],"[datetime.datetime(2019, 8, 13, 12, 0, 48, 801260)]"
7,2019-08-25 21:04:56,[27707 27708],"[datetime.datetime(2019, 8, 25, 21, 4, 53, 870393)
 datetime.datetime(2019, 8, 25, 21, 4, 55, 826644)]"
8,2019-09-06 01:04:53,[28416],"[datetime.datetime(2019, 9, 6, 1, 4, 52, 14004)]"
9,2019-10-01 06:41:50,[30103],"[datetime.datetime(2019, 10, 1, 6, 41, 51, 631214)]"
10,2019-10-04 18:07:02,[30481],"[datetime.datetime(2019, 10, 4, 18, 7, 3, 402478)]"
11,2019-11-19 10:41:09,[36246],"[datetime.datetime(2019, 11, 19, 10, 41, 5, 239944)]"
12,2019-12-21 20:39:13,[37531 37532 37533 37534 37535],"[datetime.datetime(2019, 12, 21, 20, 39, 11, 939846)
 datetime.datetime(2019, 12, 21, 20, 39, 12, 939997)
 datetime.datetime(2019, 12, 21, 20, 39, 13, 940233)
 datetime.datetime(2019, 12, 21, 20, 39, 15, 106045)
 datetime.datetime(2019, 12, 21, 20, 39, 17, 252498)]"
13,2019-12-27 17:21:44,[38107],"[datetime.datetime(2019, 12, 27, 17, 21, 49, 396926)]"
14,2020-01-11 15:11:08,[40031],"[datetime.datetime(2020, 1, 11, 15, 11, 13, 187473)]"
15,2020-01-22 05:18:20,[41477],"[datetime.datetime(2020, 1, 22, 5, 18, 10, 228382)]"
16,2020-02-24 09:58:44,[45445],"[datetime.datetime(2020, 2, 24, 9, 58, 44, 448334)]"
17,2020-04-15 08:48:05,[53009],"[datetime.datetime(2020, 4, 15, 8, 48, 5, 470385)]"
18,2020-04-23 13:54:11,[54213],"[datetime.datetime(2020, 4, 23, 13, 54, 6, 572991)]"
19,2020-05-25 14:40:28,[57169],"[datetime.datetime(2020, 5, 25, 14, 40, 23, 102170)]"
20,2020-06-05 18:17:42,[58763],"[datetime.datetime(2020, 6, 5, 18, 17, 42, 274631)]"
21,2020-08-12 11:55:28,[66374 66375],"[datetime.datetime(2020, 8, 12, 11, 55, 24, 122194)
 datetime.datetime(2020, 8, 12, 11, 55, 25, 958474)]"
22,2020-09-03 21:38:58,[69085],"[datetime.datetime(2020, 9, 3, 21, 38, 50, 495317)]"
23,2020-09-07 18:51:11,[69619],"[datetime.datetime(2020, 9, 7, 18, 51, 20, 724118)]"
24,2020-09-15 03:27:15,[70629],"[datetime.datetime(2020, 9, 15, 3, 27, 6, 777086)]"
25,2020-09-23 17:57:43,[71775],"[datetime.datetime(2020, 9, 23, 17, 57, 42, 645020)]"
26,2020-11-04 00:00:56,[75674],"[datetime.datetime(2020, 11, 4, 0, 0, 56, 665807)]"
27,2020-11-09 02:31:05,[76066],"[datetime.datetime(2020, 11, 9, 2, 31, 9, 400868)]"
28,2021-01-02 20:38:11,[79197 79198],"[datetime.datetime(2021, 1, 2, 20, 38, 2, 245585)
 datetime.datetime(2021, 1, 2, 20, 38, 7, 79069)]"
29,2021-04-24 08:01:56,[89577],"[datetime.datetime(2021, 4, 24, 8, 1, 55, 875520)]"
30,2021-06-07 21:39:20,[92671 92672 92673],"[datetime.datetime(2021, 6, 7, 21, 39, 21, 187641)
 datetime.datetime(2021, 6, 7, 21, 39, 22, 204550)
 datetime.datetime(2021, 6, 7, 21, 39, 23, 317169)]"
