,ipn new dt,trigM index,trigM dt
0,2018-06-22 13:52:42.163,[2506],"[datetime.datetime(2018, 6, 22, 13, 52, 38, 47941)]"
1,2018-07-15 18:07:04.869,[10851 10852],"[datetime.datetime(2018, 7, 15, 18, 7, 1, 657848)
 datetime.datetime(2018, 7, 15, 18, 7, 4, 657963)]"
2,2018-08-14 12:06:03.641,[24543],"[datetime.datetime(2018, 8, 14, 12, 5, 57, 723656)]"
3,2018-09-23 22:20:30.530,[41349],"[datetime.datetime(2018, 9, 23, 22, 20, 29, 84124)]"
4,2018-09-24 15:22:22.000,[41532],"[datetime.datetime(2018, 9, 24, 15, 22, 16, 399475)]"
5,2018-11-03 01:06:43.048,[57091],"[datetime.datetime(2018, 11, 3, 1, 6, 35, 868201)]"
6,2018-11-26 09:54:08.000,[65822],"[datetime.datetime(2018, 11, 26, 9, 53, 58, 984284)]"
7,2019-01-29 12:55:41.395,[83799],"[datetime.datetime(2019, 1, 29, 12, 55, 46, 943413)]"
8,2019-02-22 07:29:33.222,[90976],"[datetime.datetime(2019, 2, 22, 7, 29, 26, 606896)]"
9,2019-03-04 08:54:34.747,[96296 96297],"[datetime.datetime(2019, 3, 4, 8, 54, 27, 354399)
 datetime.datetime(2019, 3, 4, 8, 54, 34, 855453)]"
10,2019-08-31 16:38:35.674,[137680 137681],"[datetime.datetime(2019, 8, 31, 16, 38, 26, 974)
 datetime.datetime(2019, 8, 31, 16, 38, 29, 87301)]"
11,2019-09-03 17:19:36.000,[139565 139566],"[datetime.datetime(2019, 9, 3, 17, 19, 27, 668183)
 datetime.datetime(2019, 9, 3, 17, 19, 28, 750421)]"
12,2019-09-05 23:38:27.913,[140661],"[datetime.datetime(2019, 9, 5, 23, 38, 26, 813431)]"
13,2019-11-19 06:16:01.287,[163236],"[datetime.datetime(2019, 11, 19, 6, 16, 2, 185204)]"
14,2020-07-09 03:30:56.028,[200903 200904 200905],"[datetime.datetime(2020, 7, 9, 3, 30, 48, 476046)
 datetime.datetime(2020, 7, 9, 3, 30, 55, 725817)
 datetime.datetime(2020, 7, 9, 3, 31, 0, 143616)]"
15,2020-09-03 15:32:04.000,[212638 212639],"[datetime.datetime(2020, 9, 3, 15, 31, 55, 176463)
 datetime.datetime(2020, 9, 3, 15, 32, 9, 425269)]"
16,2020-09-08 21:15:40.150,[214994 214995 214996 214997 214998],"[datetime.datetime(2020, 9, 8, 21, 15, 30, 459491)
 datetime.datetime(2020, 9, 8, 21, 15, 32, 458279)
 datetime.datetime(2020, 9, 8, 21, 15, 38, 543278)
 datetime.datetime(2020, 9, 8, 21, 15, 42, 791311)
 datetime.datetime(2020, 9, 8, 21, 15, 47, 875324)]"
17,2020-09-09 23:17:10.000,[215937],"[datetime.datetime(2020, 9, 9, 23, 17, 4, 253675)]"
18,2020-11-08 15:28:22.499,[229420],"[datetime.datetime(2020, 11, 8, 15, 28, 30, 148143)]"
19,2021-05-29 23:53:36.074,[264732 264733],"[datetime.datetime(2021, 5, 29, 23, 53, 29, 241925)
 datetime.datetime(2021, 5, 29, 23, 53, 33, 158628)]"
20,2021-08-26 07:01:45.000,[280492 280493 280494 280495],"[datetime.datetime(2021, 8, 26, 7, 1, 35, 666271)
 datetime.datetime(2021, 8, 26, 7, 1, 38, 248849)
 datetime.datetime(2021, 8, 26, 7, 1, 46, 82270)
 datetime.datetime(2021, 8, 26, 7, 1, 53, 997976)]"
21,2021-12-04 03:27:33.877,[306736],"[datetime.datetime(2021, 12, 4, 3, 27, 26, 85474)]"
