,ipn old dt,trigM index,trigM dt
0,2018-06-22 13:52:42,[2506],['2018-06-22 13:52:38.047941']
1,2018-07-04 05:36:42,[5617],['2018-07-04 05:36:35.385249']
2,2018-07-15 18:07:05,[10851 10852],"['2018-07-15 18:07:01.657848', '2018-07-15 18:07:04.657963']"
3,2018-08-09 14:37:03,[22312 22313 22314 22315 22316],"['2018-08-09 14:36:54.311262', '2018-08-09 14:36:55.311321', '2018-08-09 14:36:58.643201', '2018-08-09 14:37:04.229968', '2018-08-09 14:37:11.395413']"
4,2018-09-23 22:20:30,[41349],['2018-09-23 22:20:29.084124']
5,2018-09-24 15:22:22,[41532],['2018-09-24 15:22:16.399475']
6,2018-10-11 04:21:10,[49936],['2018-10-11 04:21:19.615892']
7,2018-11-03 01:06:45,[57091],['2018-11-03 01:06:35.868201']
8,2018-11-26 09:54:08,[65822],['2018-11-26 09:53:58.984284']
9,2019-03-04 08:54:35,[96296 96297],"['2019-03-04 08:54:27.354399', '2019-03-04 08:54:34.855453']"
10,2019-07-26 08:52:44,[130160 130161 130190 130191 130192],"['2019-07-26 08:52:40.545603', '2019-07-26 08:52:47.547484', '2019-07-26 08:52:40.545603', '2019-07-26 08:52:47.547484', '2019-07-26 08:52:50.380233']"
11,2019-09-03 17:19:36,[139565 139566],"['2019-09-03 17:19:27.668183', '2019-09-03 17:19:28.750421']"
12,2019-09-05 23:38:28,[140661],['2019-09-05 23:38:26.813431']
13,2020-05-24 13:52:53,[191072 191073],"['2020-05-24 13:52:50.821365', '2020-05-24 13:52:53.571807']"
14,2020-07-09 03:31:16,[200906 200907 200908],"['2020-07-09 03:31:08.391919', '2020-07-09 03:31:10.974642', '2020-07-09 03:31:18.724917']"
15,2020-09-08 21:15:41,[214995 214996 214997 214998],"['2020-09-08 21:15:32.458279', '2020-09-08 21:15:38.543278', '2020-09-08 21:15:42.791311', '2020-09-08 21:15:47.875324']"
16,2020-09-09 23:17:10,[215937],['2020-09-09 23:17:04.253675']
17,2020-11-08 15:28:23,[229420],['2020-11-08 15:28:30.148143']
18,2020-11-28 23:57:00,[232490 232491 232492 232493 232494],"['2020-11-28 23:56:55.635039', '2020-11-28 23:57:00.468576', '2020-11-28 23:57:03.302088', '2020-11-28 23:57:05.969755', '2020-11-28 23:57:07.384370']"
