,ipn new dt,trigM index,trigM dt
0,2018-06-22 13:52:42.163,[2506],['2018-06-22 13:52:38.047941']
1,2018-07-15 18:07:04.869,[10851 10852],"['2018-07-15 18:07:01.657848', '2018-07-15 18:07:04.657963']"
2,2018-08-14 12:06:03.641,[24543],['2018-08-14 12:05:57.723656']
3,2018-09-23 22:20:30.530,[41349],['2018-09-23 22:20:29.084124']
4,2018-09-24 15:22:22.000,[41532],['2018-09-24 15:22:16.399475']
5,2018-11-03 01:06:43.048,[57091],['2018-11-03 01:06:35.868201']
6,2018-11-26 09:54:08.000,[65822],['2018-11-26 09:53:58.984284']
7,2019-01-29 12:55:41.395,[83799],['2019-01-29 12:55:46.943413']
8,2019-02-22 07:29:33.222,[90976],['2019-02-22 07:29:26.606896']
9,2019-03-04 08:54:34.747,[96296 96297],"['2019-03-04 08:54:27.354399', '2019-03-04 08:54:34.855453']"
10,2019-08-31 16:38:35.674,[137680 137681],"['2019-08-31 16:38:26.000974', '2019-08-31 16:38:29.087301']"
11,2019-09-03 17:19:36.000,[139565 139566],"['2019-09-03 17:19:27.668183', '2019-09-03 17:19:28.750421']"
12,2019-09-05 23:38:27.913,[140661],['2019-09-05 23:38:26.813431']
13,2019-11-19 06:16:01.287,[163236],['2019-11-19 06:16:02.185204']
14,2020-07-09 03:30:56.028,[200903 200904 200905],"['2020-07-09 03:30:48.476046', '2020-07-09 03:30:55.725817', '2020-07-09 03:31:00.143616']"
15,2020-09-03 15:32:04.000,[212638 212639],"['2020-09-03 15:31:55.176463', '2020-09-03 15:32:09.425269']"
16,2020-09-08 21:15:40.150,[214994 214995 214996 214997 214998],"['2020-09-08 21:15:30.459491', '2020-09-08 21:15:32.458279', '2020-09-08 21:15:38.543278', '2020-09-08 21:15:42.791311', '2020-09-08 21:15:47.875324']"
17,2020-09-09 23:17:10.000,[215937],['2020-09-09 23:17:04.253675']
18,2020-11-08 15:28:22.499,[229420],['2020-11-08 15:28:30.148143']
19,2021-05-29 23:53:36.074,[264732 264733],"['2021-05-29 23:53:29.241925', '2021-05-29 23:53:33.158628']"
20,2021-08-26 07:01:45.000,[280492 280493 280494 280495],"['2021-08-26 07:01:35.666271', '2021-08-26 07:01:38.248849', '2021-08-26 07:01:46.082270', '2021-08-26 07:01:53.997976']"
21,2021-12-04 03:27:33.877,[306736],['2021-12-04 03:27:26.085474']
