num,ipn old dt,trigC index,trigC dt,notes
0,2018-12-27 06:16:59,[11202],['2018-12-27 06:17:04.210500'],"ok interesting. Several plots"
1,2019-01-17 08:50:43,[12923],['2019-01-17 08:50:42.939689'], "nothing in GCN archive (??)"
2,2019-04-20 23:32:24,[20754],['2019-04-20 23:32:24.931211'], "nothing in GCN, not a good plot"
3,2019-05-01 05:23:21,[21437],['2019-05-01 05:23:21.736797'], "Need plots. Interesting. Long GRB but only 2s of data in ASIM"
4,2019-06-15 14:42:25,[23861],['2019-06-15 14:42:22.741579'], "interesting. Long GRB. only one file.  match with GCN. no data from KW" 
5,2019-06-28 04:23:39,[24588],['2019-06-28 04:23:32.512290'], "very interesting. not data from HED"
6,2019-08-13 12:00:45,[27017],['2019-08-13 12:00:48.801260'], "nothing. not a match with GCN either"
7,2019-08-25 21:04:56,[27707 27708],"['2019-08-25 21:04:53.870393', '2019-08-25 21:04:55.826644']", "nothing and not a match with GCN"
8,2019-09-06 01:04:53,[28416],['2019-09-06 01:04:52.014004'], "little interesting. match in GCN, HED & LED"
9,2019-10-01 06:41:50,[30103],['2019-10-01 06:41:51.631214'], "nothing"
10,2019-10-04 18:07:02,[30481],['2019-10-04 18:07:03.402478'],"checked. interesting"
11,2019-11-19 10:41:09,[36246],['2019-11-19 10:41:05.239944'], "checked. interesting"
12,2019-12-21 20:39:13,[37531 37532 37533 37534 37535],"['2019-12-21 20:39:11.939846', '2019-12-21 20:39:12.939997', '2019-12-21 20:39:13.940233', '2019-12-21 20:39:15.106045', '2019-12-21 20:39:17.252498']"
13,2019-12-27 17:21:44,[38107],['2019-12-27 17:21:49.396926'], "interesting. two triggers. Which one?"
14,2020-01-11 15:11:08,[40031],['2020-01-11 15:11:13.187473'], "interesting. but not as strong. Most in LED"
15,2020-01-22 05:18:20,[41477],['2020-01-22 05:18:10.228382'], "nothing interesting. Might have found a match with GRB 200122B"
16,2020-02-24 09:58:44,[45445],['2020-02-24 09:58:44.448334'], "match with FERMI. Not very interesting"
17,2020-04-15 08:48:05,[53009],['2020-04-15 08:48:05.470385'], "Giant magnetar flaree"
18,2020-04-23 13:54:11,[54213],['2020-04-23 13:54:06.572991'], "not much to go on. best signal in LED"
19,2020-05-25 14:40:28,[57169],['2020-05-25 14:40:23.102170'], "not much to go on here either. Both det."
20,2020-06-05 18:17:42,[58763],['2020-06-05 18:17:42.274631'], "interesting. No the same structure as KW"
21,2020-08-12 11:55:28,[66374 66375],"['2020-08-12 11:55:24.122194', '2020-08-12 11:55:25.958474']", "not much. but its something. not found in GCN archive. added to pending."
22,2020-09-03 21:38:58,[69085],['2020-09-03 21:38:50.495317'], "ok. match. only triggered LED"
23,2020-09-07 18:51:11,[69619],['2020-09-07 18:51:20.724118'], "match. Ok light curves. No KW det"
24,2020-09-15 03:27:15,[70629],['2020-09-15 03:27:06.777086'], "not in GCN archive".
25,2020-09-23 17:57:43,[71775],['2020-09-23 17:57:42.645020'], "ok"
26,2020-11-04 00:00:56,[75674],['2020-11-04 00:00:56.665807'], "not finding this file in ASIM"
27,2020-11-09 02:31:05,[76066],['2020-11-09 02:31:09.400868'], "ok. match. Not the best plot"
28,2021-01-02 20:38:11,[79197 79198],"['2021-01-02 20:38:02.245585', '2021-01-02 20:38:07.079069']", "interesting. found two files. Best signal in first."
29,2021-04-24 08:01:56,[89577],['2021-04-24 08:01:55.875520'], "Ok, match. Best signal in LED"
30,2021-06-07 21:39:20,[92671 92672 92673],"['2021-06-07 21:39:21.187641', '2021-06-07 21:39:22.204550', '2021-06-07 21:39:23.317169']", "Ok. match. Best signal in LED"
