Full photon list bin count,Filtered (by=energy flags) bin count,Filtered+ (by=energy flags background) bin count. bg is 10 counts pr 2 ms bin,left bin edge [ms]
17,12,2,-493.857396
23,16,6,-491.857396
28,10,0,-489.857396
16,6,-4,-487.857396
24,13,3,-485.857396
30,11,1,-483.857396
24,14,4,-481.857396
16,9,-1,-479.857396
27,10,0,-477.857396
32,13,3,-475.857396
30,11,1,-473.857396
36,13,3,-471.857396
23,10,0,-469.857396
30,11,1,-467.857396
37,16,6,-465.857396
26,19,9,-463.857396
48,19,9,-461.857396
19,6,-4,-459.857396
25,8,-2,-457.857396
16,8,-2,-455.857396
8,8,-2,-453.857396
16,6,-4,-451.857396
11,7,-3,-449.857396
35,15,5,-447.857396
23,9,-1,-445.857396
15,4,-6,-443.857396
10,4,-6,-441.857396
33,11,1,-439.857396
15,10,0,-437.857396
12,7,-3,-435.857396
21,6,-4,-433.857396
26,11,1,-431.857396
21,11,1,-429.857396
28,8,-2,-427.857396
22,13,3,-425.857396
22,10,0,-423.857396
10,6,-4,-421.857396
21,14,4,-419.857396
14,10,0,-417.857396
23,9,-1,-415.857396
28,14,4,-413.857396
26,9,-1,-411.857396
21,10,0,-409.857396
13,4,-6,-407.857396
18,6,-4,-405.857396
8,5,-5,-403.857396
24,5,-5,-401.857396
29,14,4,-399.857396
16,3,-7,-397.857396
20,12,2,-395.857396
35,14,4,-393.857396
27,13,3,-391.857396
21,10,0,-389.857396
24,11,1,-387.857396
24,17,7,-385.857396
26,5,-5,-383.857396
31,13,3,-381.857396
25,8,-2,-379.857396
10,4,-6,-377.857396
16,10,0,-375.857396
35,6,-4,-373.857396
25,17,7,-371.857396
23,13,3,-369.857396
16,9,-1,-367.857396
26,16,6,-365.857396
18,8,-2,-363.857396
10,6,-4,-361.857396
22,6,-4,-359.857396
25,12,2,-357.857396
24,10,0,-355.857396
21,10,0,-353.857396
29,6,-4,-351.857396
18,6,-4,-349.857396
16,10,0,-347.857396
35,17,7,-345.857396
24,15,5,-343.857396
28,10,0,-341.857396
17,5,-5,-339.857396
18,8,-2,-337.857396
10,3,-7,-335.857396
22,12,2,-333.857396
17,10,0,-331.857396
20,14,4,-329.857396
18,4,-6,-327.857396
25,9,-1,-325.857396
17,11,1,-323.857396
24,8,-2,-321.857396
27,11,1,-319.857396
28,10,0,-317.857396
22,11,1,-315.857396
20,9,-1,-313.857396
13,10,0,-311.857396
23,11,1,-309.857396
21,10,0,-307.857396
23,9,-1,-305.857396
19,11,1,-303.857396
23,9,-1,-301.857396
19,8,-2,-299.857396
31,9,-1,-297.857396
23,17,7,-295.857396
25,8,-2,-293.857396
12,5,-5,-291.857396
30,7,-3,-289.857396
26,9,-1,-287.857396
33,14,4,-285.857396
23,14,4,-283.857396
12,8,-2,-281.857396
18,6,-4,-279.857396
20,12,2,-277.857396
15,9,-1,-275.857396
18,7,-3,-273.857396
24,11,1,-271.857396
28,10,0,-269.857396
22,17,7,-267.857396
14,11,1,-265.857396
17,10,0,-263.857396
22,7,-3,-261.857396
17,10,0,-259.857396
20,9,-1,-257.857396
44,19,9,-255.857396
18,12,2,-253.857396
22,6,-4,-251.857396
10,8,-2,-249.857396
26,12,2,-247.857396
13,7,-3,-245.857396
30,17,7,-243.857396
35,13,3,-241.857396
18,7,-3,-239.857396
25,14,4,-237.857396
35,14,4,-235.857396
22,14,4,-233.857396
11,5,-5,-231.857396
12,7,-3,-229.857396
16,13,3,-227.857396
16,7,-3,-225.857396
19,10,0,-223.857396
14,12,2,-221.857396
18,12,2,-219.857396
24,16,6,-217.857396
23,14,4,-215.857396
32,6,-4,-213.857396
29,15,5,-211.857396
23,8,-2,-209.857396
10,10,0,-207.857396
13,5,-5,-205.857396
26,10,0,-203.857396
19,3,-7,-201.857396
17,6,-4,-199.857396
21,9,-1,-197.857396
23,13,3,-195.857396
21,5,-5,-193.857396
19,8,-2,-191.857396
16,6,-4,-189.857396
32,11,1,-187.857396
10,5,-5,-185.857396
40,19,9,-183.857396
32,12,2,-181.857396
29,17,7,-179.857396
35,8,-2,-177.857396
14,9,-1,-175.857396
23,11,1,-173.857396
21,8,-2,-171.857396
16,9,-1,-169.857396
18,7,-3,-167.857396
20,6,-4,-165.857396
16,10,0,-163.857396
21,13,3,-161.857396
13,7,-3,-159.857396
20,14,4,-157.857396
20,10,0,-155.857396
21,10,0,-153.857396
29,14,4,-151.857396
16,5,-5,-149.857396
14,8,-2,-147.857396
22,9,-1,-145.857396
21,12,2,-143.857396
33,13,3,-141.857396
16,5,-5,-139.857396
15,9,-1,-137.857396
23,7,-3,-135.857396
16,11,1,-133.857396
20,9,-1,-131.857396
27,15,5,-129.857396
17,10,0,-127.857396
25,15,5,-125.857396
37,7,-3,-123.857396
13,4,-6,-121.857396
21,9,-1,-119.857396
11,5,-5,-117.857396
24,15,5,-115.857396
15,14,4,-113.857396
24,9,-1,-111.857396
41,14,4,-109.857396
31,18,8,-107.857396
41,13,3,-105.857396
23,7,-3,-103.857396
19,7,-3,-101.857396
18,5,-5,-99.857396
14,7,-3,-97.857396
17,7,-3,-95.857396
13,8,-2,-93.857396
17,7,-3,-91.857396
15,9,-1,-89.857396
12,6,-4,-87.857396
14,5,-5,-85.857396
25,8,-2,-83.857396
26,9,-1,-81.857396
18,9,-1,-79.857396
