tus,erg,typ,adr,dau,det,kev,cal_abc,remove_VD
-998821.8888888889,54,0,1,1,1,534.2723,"0.005245, 8.415400, 64.546280",False
-998380.0555555555,216,0,1,1,1,2126.9834,"0.005245, 8.415400, 64.546280",False
-998072.0833333334,197,0,1,1,1,1925.9333,"0.005245, 8.415400, 64.546280",False
-997838.2777777778,32,0,1,1,1,339.21,"0.005245, 8.415400, 64.546280",False
-996327.8888888889,1727,0,1,1,1,30241.3067,"0.005245, 8.415400, 64.546280",False
-995336.2777777778,43,0,1,1,1,436.1065,"0.005245, 8.415400, 64.546280",False
-990509.4722222222,55,0,1,1,1,543.2594,"0.005245, 8.415400, 64.546280",False
-989101.6666666666,162,0,1,1,1,1565.4909,"0.005245, 8.415400, 64.546280",False
-988784.6111111111,86,0,1,1,1,827.0627,"0.005245, 8.415400, 64.546280",False
-983911.1388888889,25,0,1,1,1,278.2094,"0.005245, 8.415400, 64.546280",False
-982104.3333333334,32,0,1,1,1,339.21,"0.005245, 8.415400, 64.546280",False
-980170.0,51,0,1,1,1,507.3739,"0.005245, 8.415400, 64.546280",False
-979150.0833333334,186,0,1,1,1,1811.2667,"0.005245, 8.415400, 64.546280",False
-977581.5,45,0,1,1,1,453.8604,"0.005245, 8.415400, 64.546280",False
-977548.6666666666,666,0,1,1,1,7995.6539,"0.005245, 8.415400, 64.546280",False
-976337.5,31,0,1,1,1,330.4641,"0.005245, 8.415400, 64.546280",False
-973726.4166666666,59,0,1,1,1,579.3127,"0.005245, 8.415400, 64.546280",False
-973395.3611111111,28,0,1,1,1,304.2896,"0.005245, 8.415400, 64.546280",False
-972296.4722222222,205,0,1,1,1,2010.1244,"0.005245, 8.415400, 64.546280",False
-971680.3055555555,47,0,1,1,1,471.6563,"0.005245, 8.415400, 64.546280",False
-971241.1388888889,50,0,1,1,1,498.4288,"0.005245, 8.415400, 64.546280",False
-970780.4722222222,54,0,1,1,1,534.2723,"0.005245, 8.415400, 64.546280",False
-967915.5,153,0,1,1,1,1474.8827,"0.005245, 8.415400, 64.546280",False
-966777.1388888889,82,0,1,1,1,789.8765,"0.005245, 8.415400, 64.546280",False
-965366.2777777778,81,0,1,1,1,780.6061,"0.005245, 8.415400, 64.546280",False
-965227.6388888889,1804,0,1,1,1,32315.3398,"0.005245, 8.415400, 64.546280",False
-964769.4166666666,74,0,1,1,1,716.0075,"0.005245, 8.415400, 64.546280",False
-963929.1388888889,121,0,1,1,1,1159.6017,"0.005245, 8.415400, 64.546280",False
-963270.6111111111,1271,0,1,1,1,19233.5077,"0.005245, 8.415400, 64.546280",False
-962932.75,29,0,1,1,1,313.0039,"0.005245, 8.415400, 64.546280",False
-961952.8888888889,489,0,1,1,1,5433.8665,"0.005245, 8.415400, 64.546280",False
-959775.9166666666,29,0,1,1,1,313.0039,"0.005245, 8.415400, 64.546280",False
-959677.5833333334,32,0,1,1,1,339.21,"0.005245, 8.415400, 64.546280",False
-958896.3055555555,903,0,1,1,1,11940.4727,"0.005245, 8.415400, 64.546280",False
-958868.8888888889,52,0,1,1,1,516.3296,"0.005245, 8.415400, 64.546280",False
-957879.1666666666,263,0,1,1,1,2640.5879,"0.005245, 8.415400, 64.546280",False
-950714.7222222222,1820,0,1,1,1,32754.1123,"0.005245, 8.415400, 64.546280",False
-948570.3888888889,1891,0,1,1,1,34733.5635,"0.005245, 8.415400, 64.546280",False
-948279.2777777778,1862,0,1,1,1,33918.6669,"0.005245, 8.415400, 64.546280",False
-945044.9444444445,38,0,1,1,1,391.9053,"0.005245, 8.415400, 64.546280",False
-941948.8055555555,1820,0,1,1,1,32754.1123,"0.005245, 8.415400, 64.546280",False
-941714.9722222222,398,0,1,1,1,4244.7045,"0.005245, 8.415400, 64.546280",False
-939362.6666666666,46,0,1,1,1,462.7531,"0.005245, 8.415400, 64.546280",False
-938584.6666666666,93,0,1,1,1,892.5425,"0.005245, 8.415400, 64.546280",False
-936905.0555555555,1843,0,1,1,1,33389.5525,"0.005245, 8.415400, 64.546280",False
-935014.1944444445,1431,0,1,1,1,22847.4901,"0.005245, 8.415400, 64.546280",False
-934089.9166666666,42,0,1,1,1,427.2453,"0.005245, 8.415400, 64.546280",False
-933803.1388888889,41,0,1,1,1,418.3945,"0.005245, 8.415400, 64.546280",False
-933260.4722222222,1820,0,1,1,1,32754.1123,"0.005245, 8.415400, 64.546280",False
-931535.8055555555,190,0,1,1,1,1852.8168,"0.005245, 8.415400, 64.546280",False
-931186.2222222222,1808,0,1,1,1,32424.7812,"0.005245, 8.415400, 64.546280",False
-931172.1388888889,236,0,1,1,1,2342.7062,"0.005245, 8.415400, 64.546280",True
-929332.0833333334,236,0,1,1,1,2342.7062,"0.005245, 8.415400, 64.546280",False
-929129.9166666666,30,0,1,1,1,321.7288,"0.005245, 8.415400, 64.546280",False
-928634.0277777778,45,0,1,1,1,453.8604,"0.005245, 8.415400, 64.546280",False
-928484.5555555555,41,0,1,1,1,418.3945,"0.005245, 8.415400, 64.546280",False
-928050.25,957,0,1,1,1,12921.7121,"0.005245, 8.415400, 64.546280",False
-927031.3333333334,71,0,1,1,1,688.4797,"0.005245, 8.415400, 64.546280",False
-924549.8888888889,235,0,1,1,1,2331.8204,"0.005245, 8.415400, 64.546280",False
-923900.8611111111,305,0,1,1,1,3119.1594,"0.005245, 8.415400, 64.546280",False
-922561.1111111111,44,0,1,1,1,444.9782,"0.005245, 8.415400, 64.546280",False
-919663.8055555555,148,0,1,1,1,1424.912,"0.005245, 8.415400, 64.546280",False
-919325.9444444445,1817,0,1,1,1,32671.6379,"0.005245, 8.415400, 64.546280",False
-918476.1666666666,89,0,1,1,1,855.0625,"0.005245, 8.415400, 64.546280",False
-918311.9722222222,53,0,1,1,1,525.2957,"0.005245, 8.415400, 64.546280",False
-915320.5833333334,1770,0,1,1,1,31391.8648,"0.005245, 8.415400, 64.546280",False
-911689.5833333334,1560,0,1,1,1,25956.8023,"0.005245, 8.415400, 64.546280",False
