adr,dau,pmt,E0_kev,minimum_dt_us
1,1,1,400,0
1,1,1,500,1
1,1,1,1000,3
1,1,1,2500,11
1,1,1,3000,13
1,1,1,3500,15
1,1,1,4000,15
1,1,1,4500,15
1,1,1,5000,19
1,1,1,6000,19
1,1,1,6500,19
1,1,1,7000,21
1,1,1,7500,21
1,1,1,10000,21
1,1,1,12500,21
1,1,1,15000,21
1,1,1,20000,21
1,1,1,22500,23
1,1,1,25000,23
1,1,1,27500,25
1,1,1,30000,25
1,1,1,35000,27
1,1,1,40000,37
2,1,2,400,0
2,1,2,500,1
2,1,2,1000,2
2,1,2,2500,3
2,1,2,3000,3
2,1,2,3500,5
2,1,2,4000,5
2,1,2,4500,7
2,1,2,5000,9
2,1,2,6000,11
2,1,2,6500,11
2,1,2,7000,11
2,1,2,7500,11
2,1,2,10000,15
2,1,2,12500,17
2,1,2,15000,17
2,1,2,20000,19
2,1,2,22500,19
2,1,2,25000,19
2,1,2,27500,19
2,1,2,30000,21
2,1,2,35000,23
2,1,2,40000,50
3,1,3,400,0
3,1,3,500,1
3,1,3,1000,5
3,1,3,2500,7
3,1,3,3000,11
3,1,3,3500,11
3,1,3,4000,11
3,1,3,4500,15
3,1,3,5000,15
3,1,3,6000,15
3,1,3,6500,15
3,1,3,7000,15
3,1,3,7500,19
3,1,3,10000,21
3,1,3,12500,21
3,1,3,15000,21
3,1,3,20000,21
3,1,3,22500,21
3,1,3,25000,23
3,1,3,27500,23
3,1,3,30000,23
3,1,3,35000,25
3,1,3,40000,31
4,2,1,400,0
4,2,1,500,2
4,2,1,1000,7
4,2,1,2500,15
4,2,1,3000,17
4,2,1,3500,17
4,2,1,4000,17
4,2,1,4500,17
4,2,1,5000,19
4,2,1,6000,19
4,2,1,6500,21
4,2,1,7000,21
4,2,1,7500,21
4,2,1,10000,23
4,2,1,12500,23
4,2,1,15000,23
4,2,1,20000,23
4,2,1,22500,23
4,2,1,25000,23
4,2,1,27500,23
4,2,1,30000,25
4,2,1,35000,27
4,2,1,40000,31
5,2,2,400,0
5,2,2,500,1
5,2,2,1000,4
5,2,2,2500,9
5,2,2,3000,11
5,2,2,3500,11
5,2,2,4000,13
5,2,2,4500,15
5,2,2,5000,15
5,2,2,6000,17
5,2,2,6500,19
5,2,2,7000,19
5,2,2,7500,19
5,2,2,10000,19
5,2,2,12500,19
5,2,2,15000,21
5,2,2,20000,21
5,2,2,22500,21
5,2,2,25000,21
5,2,2,27500,23
5,2,2,30000,23
5,2,2,35000,25
5,2,2,40000,29
6,2,3,400,0
6,2,3,500,1
6,2,3,1000,6
6,2,3,2500,11
6,2,3,3000,11
6,2,3,3500,13
6,2,3,4000,15
6,2,3,4500,17
6,2,3,5000,17
6,2,3,6000,17
6,2,3,6500,21
6,2,3,7000,21
6,2,3,7500,21
6,2,3,10000,23
