tus,erg,dau,det,a,b,c,keV
-971248.5277777778,30,3,2,-0.005435,28.0135,-20.6767,814.8368
-970898.5833333334,41,4,2,0.001654,16.4206,-43.19642,632.828554
-970399.8888888889,54,1,1,0.005245,8.4154,64.54628,534.2723
-969958.0555555555,216,1,1,0.005245,8.4154,64.54628,2126.9834
-969650.0833333334,197,1,1,0.005245,8.4154,64.54628,1925.933285
-969416.2777777778,32,1,1,0.005245,8.4154,64.54628,339.20996
-968595.1111111111,44,2,3,0.004798,9.72422,47.9505,485.10510800000003
-968495.0833333334,54,4,1,0.00306,12.1257,37.1393,700.8500600000001
-968289.75,50,2,1,0.006566,6.6033,84.98722,431.56722
-968289.75,74,4,1,0.00306,12.1257,37.1393,951.19766
-968289.6944444445,31,2,3,0.004798,9.72422,47.9505,354.012198
-968281.3333333334,1728,4,1,0.00306,12.1257,37.1393,30127.45994
-968281.2222222222,1218,4,2,0.001654,16.4206,-43.19642,22410.843075999997
-968281.1666666666,158,2,2,0.004184,11.7314,29.3111,1987.321676
-967905.8888888889,1727,1,1,0.005245,8.4154,64.54628,30241.306685
-967905.75,80,1,2,-0.002817,22.3117,-7.48475,1759.4224499999998
-967360.1388888889,157,3,2,-0.005435,28.0135,-20.6767,4243.475485
-966914.4444444445,1853,4,3,0.002252,12.9039,14.2497,31657.663868
-966914.3611111111,1382,4,2,0.001654,16.4206,-43.19642,25809.087076
-966914.2777777778,43,1,1,0.005245,8.4154,64.54628,436.106485
-966881.5833333334,24,3,2,-0.005435,28.0135,-20.6767,648.5167400000001
-966881.5277777778,31,3,1,-0.002714,23.1905,0.891068,717.188414
-966806.8888888889,20,3,3,-0.003606,24.6944,-0.866357,491.579243
-966624.0,1469,3,3,-0.003606,24.6944,-0.866357,28493.599877000004
-966606.5277777778,30,1,2,-0.002817,22.3117,-7.48475,659.33095
-966385.6388888889,686,2,3,0.004798,9.72422,47.9505,8976.685028000002
-966385.6111111111,58,2,1,0.006566,6.6033,84.98722,490.066644
-966209.0833333334,96,2,1,0.006566,6.6033,84.98722,779.4162759999999
-965820.8611111111,51,3,1,-0.002714,23.1905,0.891068,1176.547454
-965632.2777777778,18,3,1,-0.002714,23.1905,0.891068,417.44073199999997
-965632.25,48,4,1,0.00306,12.1257,37.1393,626.2231400000001
-965347.5833333334,211,4,2,0.001654,16.4206,-43.19642,3495.1879139999996
-964767.6944444445,1803,1,2,-0.002817,22.3117,-7.48475,31062.981397
-964767.6944444445,1887,1,3,0.002895,10.5845,33.544,30314.921755000003
-964401.1944444445,36,3,2,-0.005435,28.0135,-20.6767,980.76554
-964284.1944444445,19,3,1,-0.002714,23.1905,0.891068,440.530814
-964178.0555555555,49,1,3,0.002895,10.5845,33.544,559.1353949999999
-963980.1388888889,1470,3,2,-0.005435,28.0135,-20.6767,29414.6768
-963980.0,30,3,3,-0.003606,24.6944,-0.866357,736.7202430000001
-963357.7222222222,1544,4,3,0.002252,12.9039,14.2497,25306.495172
-963357.6666666666,140,2,1,0.006566,6.6033,84.98722,1138.14282
-963357.5555555555,34,4,2,0.001654,16.4206,-43.19642,517.016004
-963052.7222222222,120,3,2,-0.005435,28.0135,-20.6767,3262.6793
-962400.5277777778,72,2,1,0.006566,6.6033,84.98722,594.4629639999999
-962087.6388888889,1678,3,1,-0.002714,23.1905,0.891068,31272.783692
-962087.6388888889,1713,2,1,0.006566,6.6033,84.98722,30663.506974
-962087.6388888889,1680,3,2,-0.005435,28.0135,-20.6767,31702.2593
-962087.4722222222,55,1,1,0.005245,8.4154,64.54628,543.259405
-962087.4722222222,118,4,1,0.00306,12.1257,37.1393,1510.57934
-962087.4722222222,117,4,3,0.002252,12.9039,14.2497,1554.833628
-962087.4722222222,805,3,3,-0.003606,24.6944,-0.866357,17541.347493
-961221.4444444445,1596,3,3,-0.003606,24.6944,-0.866357,30226.135147
-961221.3055555555,81,3,1,-0.002714,23.1905,0.891068,1861.5150139999998
-961221.25,19,3,2,-0.005435,28.0135,-20.6767,509.61776499999996
-960679.6666666666,162,1,1,0.005245,8.4154,64.54628,1565.4908599999999
-960362.6111111111,86,1,1,0.005245,8.4154,64.54628,827.0627
-960337.3333333334,100,3,2,-0.005435,28.0135,-20.6767,2726.3233
-960002.9166666666,37,4,3,0.002252,12.9039,14.2497,494.776988
-959195.3888888889,17,3,3,-0.003606,24.6944,-0.866357,417.89630900000003
-959160.4722222222,35,2,1,0.006566,6.6033,84.98722,324.14607
-958862.0833333334,171,4,3,0.002252,12.9039,14.2497,2286.6673319999995
-958764.1666666666,166,1,3,0.002895,10.5845,33.544,1870.34562
-958518.4722222222,194,2,1,0.006566,6.6033,84.98722,1613.145396
-958502.6388888889,1723,3,2,-0.005435,28.0135,-20.6767,32111.541685000007
-958502.5,46,4,1,0.00306,12.1257,37.1393,601.39646
-958502.5,1189,3,1,-0.002714,23.1905,0.891068,23737.556774
-958502.4722222222,18,3,3,-0.003606,24.6944,-0.866357,442.46449900000005
-958502.4722222222,40,4,2,0.001654,16.4206,-43.19642,616.27398
-958502.4444444445,58,4,3,0.002252,12.9039,14.2497,770.251628
-958353.7222222222,40,2,2,0.004184,11.7314,29.3111,505.2615
-958232.4166666666,119,3,3,-0.003606,24.6944,-0.866357,2886.702677
-958042.75,123,2,3,0.004798,9.72422,47.9505,1316.618502
-958042.6944444445,33,3,1,-0.002714,23.1905,0.891068,763.222022
-957715.5555555555,72,2,3,0.004798,9.72422,47.9505,772.9671720000001
-957499.0555555555,1384,3,2,-0.005435,28.0135,-20.6767,28339.503940000002
-957110.1666666666,112,2,2,0.004184,11.7314,29.3111,1395.7119959999998
-956928.8055555555,1503,1,2,-0.002817,22.3117,-7.48475,27163.371997
-956714.4444444445,749,4,3,0.002252,12.9039,14.2497,10942.645052
-956182.3611111111,273,1,2,-0.002817,22.3117,-7.48475,5873.661157
-956182.3333333334,869,1,3,0.002895,10.5845,33.544,11417.665595
-955956.3611111111,1746,2,2,0.004184,11.7314,29.3111,33267.326444
-955956.3611111111,1850,2,3,0.004798,9.72422,47.9505,34458.9125
-955956.3333333334,1841,4,3,0.002252,12.9039,14.2497,31402.990412
-955840.1111111111,55,2,1,0.006566,6.6033,84.98722,468.03086999999994
-955840.1111111111,96,2,2,0.004184,11.7314,29.3111,1194.0852439999999
-955763.8611111111,997,2,2,0.004184,11.7314,29.3111,15884.450556000002
-955698.1944444445,72,1,3,0.002895,10.5845,33.544,810.6356800000001
-955489.1388888889,25,1,1,0.005245,8.4154,64.54628,278.20940499999995
-955394.7777777778,1921,1,3,0.002895,10.5845,33.544,31049.616195000002
-955394.7777777778,1839,1,2,-0.002817,22.3117,-7.48475,31496.860093
-954986.2222222222,36,3,3,-0.003606,24.6944,-0.866357,883.4586670000001
-954726.0833333334,50,4,2,0.001654,16.4206,-43.19642,781.96858
-954726.0555555555,156,3,3,-0.003606,24.6944,-0.866357,3763.7044270000006
-954726.0555555555,196,4,3,0.002252,12.9039,14.2497,2629.926932
-954726.0555555555,18,3,1,-0.002714,23.1905,0.891068,417.44073199999997
-954726.0277777778,397,2,1,0.006566,6.6033,84.98722,3741.358014
-954283.9722222222,515,4,2,0.001654,16.4206,-43.19642,8852.09473
-954075.0,33,4,2,0.001654,16.4206,-43.19642,500.48458600000004
-953682.4444444445,1631,3,3,-0.003606,24.6944,-0.866357,30683.159477000005
