energy_bin_start_keV,energy_bin_stop_keV
1.000000E+01,1.258925E+01
1.258925E+01,1.584893E+01
1.584893E+01,1.995262E+01
1.995262E+01,2.511886E+01
2.511886E+01,3.162278E+01
3.162278E+01,3.981072E+01
3.981072E+01,5.011872E+01
5.011872E+01,6.309573E+01
6.309573E+01,7.943282E+01
7.943282E+01,1.000000E+02
1.000000E+02,1.258925E+02
1.258925E+02,1.584893E+02
1.584893E+02,1.995262E+02
1.995262E+02,2.511886E+02
2.511886E+02,3.162278E+02
3.162278E+02,3.981072E+02
3.981072E+02,5.011872E+02
5.011872E+02,6.309573E+02
6.309573E+02,7.943282E+02
7.943282E+02,1.000000E+03
1.000000E+03,1.258925E+03
1.258925E+03,1.584893E+03
1.584893E+03,1.995262E+03
1.995262E+03,2.511886E+03
2.511886E+03,3.162278E+03
3.162278E+03,3.981072E+03
3.981072E+03,5.011872E+03
5.011872E+03,6.309573E+03
6.309573E+03,7.943282E+03
7.943282E+03,1.000000E+04
1.000000E+04,1.258925E+04
1.258925E+04,1.584893E+04
1.584893E+04,1.995262E+04
1.995262E+04,2.511886E+04
2.511886E+04,3.162278E+04
3.162278E+04,3.981072E+04
3.981072E+04,5.011872E+04
5.011872E+04,6.309573E+04
6.309573E+04,7.943282E+04
7.943282E+04,1.000000E+05
