bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.584893E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.995262E+01,0.000000E+00,0.000000E+00,6.800000E-01
2.511886E+01,0.000000E+00,0.000000E+00,6.800000E-01
3.162278E+01,0.000000E+00,0.000000E+00,6.800000E-01
3.981072E+01,0.000000E+00,0.000000E+00,6.800000E-01
5.011872E+01,0.000000E+00,0.000000E+00,6.800000E-01
6.309573E+01,0.000000E+00,0.000000E+00,6.800000E-01
7.943282E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.000000E+02,0.000000E+00,0.000000E+00,6.800000E-01
1.258925E+02,0.000000E+00,0.000000E+00,6.800000E-01
1.584893E+02,0.000000E+00,0.000000E+00,6.800000E-01
1.995262E+02,0.000000E+00,0.000000E+00,6.800000E-01
2.511886E+02,0.000000E+00,0.000000E+00,6.800000E-01
3.162278E+02,0.000000E+00,0.000000E+00,6.800000E-01
3.981072E+02,0.000000E+00,0.000000E+00,6.800000E-01
5.011872E+02,4.640000E+02,2.154066E+01,6.800000E-01
6.309573E+02,4.200000E+02,2.049390E+01,6.800000E-01
7.943282E+02,2.990000E+02,1.729162E+01,6.800000E-01
1.000000E+03,2.960000E+02,1.720465E+01,6.800000E-01
1.258925E+03,2.750000E+02,1.658312E+01,6.800000E-01
1.584893E+03,2.620000E+02,1.618641E+01,6.800000E-01
1.995262E+03,1.880000E+02,1.371131E+01,6.800000E-01
2.511886E+03,1.820000E+02,1.349074E+01,6.800000E-01
3.162278E+03,1.410000E+02,1.187434E+01,6.800000E-01
3.981072E+03,1.500000E+02,1.224745E+01,6.800000E-01
5.011872E+03,1.260000E+02,1.122497E+01,6.800000E-01
6.309573E+03,1.110000E+02,1.053565E+01,6.800000E-01
7.943282E+03,9.600000E+01,9.797959E+00,6.800000E-01
1.000000E+04,7.400000E+01,8.602325E+00,6.800000E-01
1.258925E+04,6.400000E+01,8.000000E+00,6.800000E-01
1.584893E+04,6.800000E+01,8.246211E+00,6.800000E-01
1.995262E+04,6.200000E+01,7.874008E+00,6.800000E-01
2.511886E+04,1.150000E+02,1.072381E+01,6.800000E-01
3.162278E+04,6.390000E+02,2.527845E+01,6.800000E-01
3.981072E+04,2.900000E+02,1.702939E+01,6.800000E-01
5.011872E+04,1.000000E+00,1.000000E+00,6.800000E-01
6.309573E+04,0.000000E+00,0.000000E+00,6.800000E-01
7.943282E+04,0.000000E+00,0.000000E+00,6.800000E-01
1.000000E+05,0.000000E+00,0.000000E+00,6.800000E-01
