energy_bin_start_keV,energy_bin_stop_keV
1.000000E+01,1.122018E+01
1.122018E+01,1.258925E+01
1.258925E+01,1.412538E+01
1.412538E+01,1.584893E+01
1.584893E+01,1.778279E+01
1.778279E+01,1.995262E+01
1.995262E+01,2.238721E+01
2.238721E+01,2.511886E+01
2.511886E+01,2.818383E+01
2.818383E+01,3.162278E+01
3.162278E+01,3.548134E+01
3.548134E+01,3.981072E+01
3.981072E+01,4.466836E+01
4.466836E+01,5.011872E+01
5.011872E+01,5.623413E+01
5.623413E+01,6.309573E+01
6.309573E+01,7.079458E+01
7.079458E+01,7.943282E+01
7.943282E+01,8.912509E+01
8.912509E+01,1.000000E+02
1.000000E+02,1.122018E+02
1.122018E+02,1.258925E+02
1.258925E+02,1.412538E+02
1.412538E+02,1.584893E+02
1.584893E+02,1.778279E+02
1.778279E+02,1.995262E+02
1.995262E+02,2.238721E+02
2.238721E+02,2.511886E+02
2.511886E+02,2.818383E+02
2.818383E+02,3.162278E+02
3.162278E+02,3.548134E+02
3.548134E+02,3.981072E+02
3.981072E+02,4.466836E+02
4.466836E+02,5.011872E+02
5.011872E+02,5.623413E+02
5.623413E+02,6.309573E+02
6.309573E+02,7.079458E+02
7.079458E+02,7.943282E+02
7.943282E+02,8.912509E+02
8.912509E+02,1.000000E+03
