GRB ID,T0,T0 trimmed
GRB180720,2018-07-20T14:21:47.389942,2018-07-20T14:21:47.389
GRB181222,2018-12-22T20:11:36.576228,2018-12-22T20:11:36.576
GRB190206,2019-02-06T03:49:28.525262,2019-02-06T03:49:28.525
GRB190305,2019-03-05T13:05:19.816318,2019-03-05T13:05:19.816
GRB190606,2019-06-06T01:55:07.318605,2019-06-06T01:55:07.318
GRB200415,2020-04-15T08:48:05.528427,2020-04-15T08:48:05.528
GRB200521,2020-05-21T12:16:39.818925,2020-05-21T12:16:39.818
GRB200716,2020-07-16T22:57:40.634534,2020-07-16T22:57:40.634
GRB201227,2020-12-27T15:14:06.853667,2020-12-27T15:14:06.853
GRB210424,2021-04-24T08:01:54.997654,2021-04-24T08:01:54.997
GRB210619,2021-06-19T23:59:24.915550,2021-06-19T23:59:24.915
GRB211211,2021-12-11T13:10:01.323743,2021-12-11T13:10:01.323
