# bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,6.250000E-01
1.584893E+01,0.000000E+00,0.000000E+00,6.250000E-01
1.995262E+01,0.000000E+00,0.000000E+00,6.250000E-01
2.511886E+01,0.000000E+00,0.000000E+00,6.250000E-01
3.162278E+01,0.000000E+00,0.000000E+00,6.250000E-01
3.981072E+01,0.000000E+00,0.000000E+00,6.250000E-01
5.011872E+01,0.000000E+00,0.000000E+00,6.250000E-01
6.309573E+01,0.000000E+00,0.000000E+00,6.250000E-01
7.943282E+01,0.000000E+00,0.000000E+00,6.250000E-01
1.000000E+02,0.000000E+00,0.000000E+00,6.250000E-01
1.258925E+02,0.000000E+00,0.000000E+00,6.250000E-01
1.584893E+02,0.000000E+00,0.000000E+00,6.250000E-01
1.995262E+02,0.000000E+00,0.000000E+00,6.250000E-01
2.511886E+02,4.000000E+00,2.000000E+00,6.250000E-01
3.162278E+02,6.000000E+01,7.745967E+00,6.250000E-01
3.981072E+02,9.100000E+01,9.539392E+00,6.250000E-01
5.011872E+02,2.730000E+02,1.652271E+01,6.250000E-01
6.309573E+02,2.370000E+02,1.539480E+01,6.250000E-01
7.943282E+02,1.680000E+02,1.296148E+01,6.250000E-01
1.000000E+03,1.690000E+02,1.300000E+01,6.250000E-01
1.258925E+03,1.420000E+02,1.191638E+01,6.250000E-01
1.584893E+03,1.220000E+02,1.104536E+01,6.250000E-01
1.995262E+03,9.200000E+01,9.591663E+00,6.250000E-01
2.511886E+03,5.300000E+01,7.280110E+00,6.250000E-01
3.162278E+03,5.400000E+01,7.348469E+00,6.250000E-01
3.981072E+03,3.900000E+01,6.244998E+00,6.250000E-01
5.011872E+03,3.900000E+01,6.244998E+00,6.250000E-01
6.309573E+03,2.400000E+01,4.898979E+00,6.250000E-01
7.943282E+03,1.900000E+01,4.358899E+00,6.250000E-01
1.000000E+04,2.500000E+01,5.000000E+00,6.250000E-01
1.258925E+04,2.200000E+01,4.690416E+00,6.250000E-01
1.584893E+04,2.200000E+01,4.690416E+00,6.250000E-01
1.995262E+04,1.500000E+01,3.872983E+00,6.250000E-01
2.511886E+04,2.600000E+01,5.099020E+00,6.250000E-01
3.162278E+04,1.230000E+02,1.109054E+01,6.250000E-01
3.981072E+04,5.700000E+01,7.549834E+00,6.250000E-01
5.011872E+04,1.000000E+00,1.000000E+00,6.250000E-01
6.309573E+04,0.000000E+00,0.000000E+00,6.250000E-01
7.943282E+04,0.000000E+00,0.000000E+00,6.250000E-01
1.000000E+05,0.000000E+00,0.000000E+00,6.250000E-01
