# bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,6.250000E-01
1.584893E+01,0.000000E+00,0.000000E+00,6.250000E-01
1.995262E+01,0.000000E+00,0.000000E+00,6.250000E-01
2.511886E+01,0.000000E+00,0.000000E+00,6.250000E-01
3.162278E+01,0.000000E+00,0.000000E+00,6.250000E-01
3.981072E+01,0.000000E+00,0.000000E+00,6.250000E-01
5.011872E+01,0.000000E+00,0.000000E+00,6.250000E-01
6.309573E+01,0.000000E+00,0.000000E+00,6.250000E-01
7.943282E+01,0.000000E+00,0.000000E+00,6.250000E-01
1.000000E+02,0.000000E+00,0.000000E+00,6.250000E-01
1.258925E+02,0.000000E+00,0.000000E+00,6.250000E-01
1.584893E+02,0.000000E+00,0.000000E+00,6.250000E-01
1.995262E+02,0.000000E+00,0.000000E+00,6.250000E-01
2.511886E+02,1.000000E+01,3.162278E+00,6.250000E-01
3.162278E+02,1.790000E+02,1.337909E+01,6.250000E-01
3.981072E+02,2.480000E+02,1.574802E+01,6.250000E-01
5.011872E+02,7.870000E+02,2.805352E+01,6.250000E-01
6.309573E+02,6.320000E+02,2.513961E+01,6.250000E-01
7.943282E+02,4.070000E+02,2.017424E+01,6.250000E-01
1.000000E+03,4.400000E+02,2.097618E+01,6.250000E-01
1.258925E+03,3.830000E+02,1.957039E+01,6.250000E-01
1.584893E+03,3.420000E+02,1.849324E+01,6.250000E-01
1.995262E+03,2.660000E+02,1.630951E+01,6.250000E-01
2.511886E+03,2.040000E+02,1.428286E+01,6.250000E-01
3.162278E+03,1.670000E+02,1.292285E+01,6.250000E-01
3.981072E+03,1.280000E+02,1.131371E+01,6.250000E-01
5.011872E+03,1.080000E+02,1.039230E+01,6.250000E-01
6.309573E+03,8.100000E+01,9.000000E+00,6.250000E-01
7.943282E+03,8.100000E+01,9.000000E+00,6.250000E-01
1.000000E+04,6.800000E+01,8.246211E+00,6.250000E-01
1.258925E+04,7.200000E+01,8.485281E+00,6.250000E-01
1.584893E+04,8.300000E+01,9.110434E+00,6.250000E-01
1.995262E+04,7.000000E+01,8.366600E+00,6.250000E-01
2.511886E+04,1.060000E+02,1.029563E+01,6.250000E-01
3.162278E+04,4.780000E+02,2.186321E+01,6.250000E-01
3.981072E+04,2.640000E+02,1.624808E+01,6.250000E-01
5.011872E+04,5.000000E+00,2.236068E+00,6.250000E-01
6.309573E+04,0.000000E+00,0.000000E+00,6.250000E-01
7.943282E+04,0.000000E+00,0.000000E+00,6.250000E-01
1.000000E+05,0.000000E+00,0.000000E+00,6.250000E-01
