bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.122018E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.258925E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.412538E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.584893E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.778279E+01,0.000000E+00,0.000000E+00,6.800000E-01
1.995262E+01,0.000000E+00,0.000000E+00,6.800000E-01
2.238721E+01,0.000000E+00,0.000000E+00,6.800000E-01
2.511886E+01,0.000000E+00,0.000000E+00,6.800000E-01
2.818383E+01,0.000000E+00,0.000000E+00,6.800000E-01
3.162278E+01,0.000000E+00,0.000000E+00,6.800000E-01
3.548134E+01,0.000000E+00,0.000000E+00,6.800000E-01
3.981072E+01,0.000000E+00,0.000000E+00,6.800000E-01
4.466836E+01,0.000000E+00,0.000000E+00,6.800000E-01
5.011872E+01,5.000000E+00,2.236068E+00,6.800000E-01
5.623413E+01,1.360000E+02,1.166190E+01,6.800000E-01
6.309573E+01,9.800000E+01,9.899495E+00,6.800000E-01
7.079458E+01,9.600000E+01,9.797959E+00,6.800000E-01
7.943282E+01,1.160000E+02,1.077033E+01,6.800000E-01
8.912509E+01,1.190000E+02,1.090871E+01,6.800000E-01
1.000000E+02,1.110000E+02,1.053565E+01,6.800000E-01
1.122018E+02,1.050000E+02,1.024695E+01,6.800000E-01
1.258925E+02,1.360000E+02,1.166190E+01,6.800000E-01
1.412538E+02,1.160000E+02,1.077033E+01,6.800000E-01
1.584893E+02,1.020000E+02,1.009950E+01,6.800000E-01
1.778279E+02,1.280000E+02,1.131371E+01,6.800000E-01
1.995262E+02,9.600000E+01,9.797959E+00,6.800000E-01
2.238721E+02,9.000000E+01,9.486833E+00,6.800000E-01
2.511886E+02,9.300000E+01,9.643651E+00,6.800000E-01
2.818383E+02,7.600000E+01,8.717798E+00,6.800000E-01
3.162278E+02,8.200000E+01,9.055385E+00,6.800000E-01
3.548134E+02,5.900000E+01,7.681146E+00,6.800000E-01
3.981072E+02,0.000000E+00,0.000000E+00,6.800000E-01
4.466836E+02,0.000000E+00,0.000000E+00,6.800000E-01
5.011872E+02,0.000000E+00,0.000000E+00,6.800000E-01
5.623413E+02,0.000000E+00,0.000000E+00,6.800000E-01
6.309573E+02,0.000000E+00,0.000000E+00,6.800000E-01
7.079458E+02,0.000000E+00,0.000000E+00,6.800000E-01
7.943282E+02,0.000000E+00,0.000000E+00,6.800000E-01
8.912509E+02,0.000000E+00,0.000000E+00,6.800000E-01
1.000000E+03,0.000000E+00,0.000000E+00,6.800000E-01
