Ti,Tf,Counts
-0.205,-0.203,16
-0.203,-0.201,10
-0.201,-0.199,1
-0.199,-0.197,9
-0.197,-0.195,14
-0.195,-0.193,8
-0.193,-0.191,9
-0.191,-0.189,15
-0.189,-0.187,3
-0.187,-0.185,7
-0.185,-0.183,1
-0.183,-0.181,12
-0.181,-0.179,8
-0.179,-0.177,4
-0.177,-0.175,10
-0.175,-0.173,10
-0.173,-0.171,5
-0.171,-0.169,11
-0.169,-0.167,0
-0.167,-0.165,12
-0.165,-0.163,3
-0.163,-0.161,12
-0.161,-0.159,8
-0.159,-0.157,2
-0.157,-0.155,7
-0.155,-0.153,4
-0.153,-0.151,2
-0.151,-0.149,9
-0.149,-0.147,11
-0.147,-0.145,5
-0.145,-0.143,0
-0.143,-0.141,10
-0.141,-0.139,10
-0.139,-0.137,7
-0.137,-0.135,9
-0.135,-0.133,3
-0.133,-0.131,9
-0.131,-0.129,5
-0.129,-0.127,7
-0.127,-0.125,3
-0.125,-0.123,6
-0.123,-0.121,32
-0.121,-0.119,6
-0.119,-0.117,5
-0.117,-0.115,18
-0.115,-0.113,1
-0.113,-0.111,3
-0.111,-0.109,7
-0.109,-0.107,4
-0.107,-0.105,3
-0.105,-0.103,11
-0.103,-0.101,11
-0.101,-0.099,7
-0.099,-0.097,6
-0.097,-0.095,3
-0.095,-0.093,4
-0.093,-0.091,2
-0.091,-0.089,3
-0.089,-0.087,5
-0.087,-0.085,11
-0.085,-0.083,19
-0.083,-0.081,8
-0.081,-0.079,3
-0.079,-0.077,4
-0.077,-0.075,8
-0.075,-0.073,2
-0.073,-0.071,13
-0.071,-0.069,7
-0.069,-0.067,5
-0.067,-0.065,5
-0.065,-0.063,5
-0.063,-0.061,6
-0.061,-0.059,0
-0.059,-0.057,14
-0.057,-0.055,1
-0.055,-0.053,9
-0.053,-0.051,9
-0.051,-0.049,3
-0.049,-0.047,6
-0.047,-0.045,8
-0.045,-0.043,11
-0.043,-0.041,14
-0.041,-0.039,5
-0.039,-0.037,8
-0.037,-0.035,9
-0.035,-0.033,3
-0.033,-0.031,8
-0.031,-0.029,6
