Ti,Tf,Counts
-0.884,-0.868,88
-0.868,-0.852,98
-0.852,-0.836,73
-0.836,-0.82,87
-0.82,-0.804,114
-0.804,-0.788,91
-0.788,-0.772,61
-0.772,-0.756,100
-0.756,-0.74,83
-0.74,-0.724,64
-0.724,-0.708,95
-0.708,-0.692,84
-0.692,-0.676,61
-0.676,-0.66,97
-0.66,-0.644,90
-0.644,-0.628,63
-0.628,-0.612,85
-0.612,-0.596,85
-0.596,-0.58,92
-0.58,-0.564,95
-0.564,-0.548,88
-0.548,-0.532,80
-0.532,-0.516,82
-0.516,-0.5,107
-0.5,-0.484,78
-0.484,-0.468,104
-0.468,-0.452,85
-0.452,-0.436,101
-0.436,-0.42,92
-0.42,-0.404,66
-0.404,-0.388,54
-0.388,-0.372,77
-0.372,-0.356,114
-0.356,-0.34,88
-0.34,-0.324,72
-0.324,-0.308,64
-0.308,-0.292,77
-0.292,-0.276,90
-0.276,-0.26,96
-0.26,-0.244,78
-0.244,-0.228,87
-0.228,-0.212,101
-0.212,-0.196,64
-0.196,-0.18,89
-0.18,-0.164,74
-0.164,-0.148,107
-0.148,-0.132,61
-0.132,-0.116,85
-0.116,-0.1,68
-0.1,-0.084,76
-0.084,-0.068,91
-0.068,-0.052,91
-0.052,-0.036,71
-0.036,-0.02,105
-0.02,-0.004,112
-0.004,0.012,104
0.012,0.028,132
0.028,0.044,98
0.044,0.06,156
0.06,0.076,106
0.076,0.092,119
0.092,0.108,203
0.108,0.124,211
0.124,0.14,275
0.14,0.156,263
0.156,0.172,154
0.172,0.188,82
0.188,0.204,77
0.204,0.22,166
0.22,0.236,177
0.236,0.252,118
0.252,0.268,120
0.268,0.284,111
0.284,0.3,103
0.3,0.316,94
0.316,0.332,92
0.332,0.348,76
0.348,0.364,72
0.364,0.38,92
0.38,0.396,81
0.396,0.412,61
0.412,0.428,83
0.428,0.444,77
0.444,0.46,70
0.46,0.476,88
0.476,0.492,112
0.492,0.508,58
0.508,0.524,55
0.524,0.54,85
0.54,0.556,101
0.556,0.572,97
0.572,0.588,79
0.588,0.604,72
0.604,0.62,103
0.62,0.636,88
0.636,0.652,82
0.652,0.668,101
0.668,0.684,89
0.684,0.7,110
0.7,0.716,105
0.716,0.732,113
0.732,0.748,115
0.748,0.764,98
0.764,0.78,105
0.78,0.796,78
0.796,0.812,108
0.812,0.828,80
0.828,0.844,77
0.844,0.86,59
0.86,0.876,81
0.876,0.892,112
0.892,0.908,91
0.908,0.924,90
0.924,0.94,65
0.94,0.956,76
0.956,0.972,97
0.972,0.988,102
0.988,1.004,87
1.004,1.02,100
1.02,1.036,80
1.036,1.052,77
1.052,1.068,74
1.068,1.084,98
1.084,1.1,76
1.1,1.116,87
1.116,1.132,55
