Ti,Tf,Counts
-1.009,-1.007,12
-1.007,-1.005,9
-1.005,-1.003,6
-1.003,-1.001,17
-1.001,-0.999,8
-0.999,-0.997,9
-0.997,-0.995,5
-0.995,-0.993,18
-0.993,-0.991,12
-0.991,-0.989,27
-0.989,-0.987,9
-0.987,-0.985,29
-0.985,-0.983,9
-0.983,-0.981,16
-0.981,-0.979,11
-0.979,-0.977,3
-0.977,-0.975,8
-0.975,-0.973,21
-0.973,-0.971,12
-0.971,-0.969,15
-0.969,-0.967,10
-0.967,-0.965,15
-0.965,-0.963,10
-0.963,-0.961,9
-0.961,-0.959,14
-0.959,-0.957,12
-0.957,-0.955,15
-0.955,-0.953,7
-0.953,-0.951,12
-0.951,-0.949,17
-0.949,-0.947,11
-0.947,-0.945,4
-0.945,-0.943,12
-0.943,-0.941,20
-0.941,-0.939,12
-0.939,-0.937,13
-0.937,-0.935,8
-0.935,-0.933,7
-0.933,-0.931,18
-0.931,-0.929,4
-0.929,-0.927,16
-0.927,-0.925,7
-0.925,-0.923,5
-0.923,-0.921,6
-0.921,-0.919,13
-0.919,-0.917,19
-0.917,-0.915,13
-0.915,-0.913,8
-0.913,-0.911,8
-0.911,-0.909,15
-0.909,-0.907,8
-0.907,-0.905,7
-0.905,-0.903,11
-0.903,-0.901,21
-0.901,-0.899,27
-0.899,-0.897,8
-0.897,-0.895,12
-0.895,-0.893,26
-0.893,-0.891,18
-0.891,-0.889,0
-0.889,-0.887,12
-0.887,-0.885,8
-0.885,-0.883,14
-0.883,-0.881,4
-0.881,-0.879,9
-0.879,-0.877,6
-0.877,-0.875,7
-0.875,-0.873,7
-0.873,-0.871,15
-0.871,-0.869,11
-0.869,-0.867,5
-0.867,-0.865,2
-0.865,-0.863,6
-0.863,-0.861,6
-0.861,-0.859,9
-0.859,-0.857,27
-0.857,-0.855,8
-0.855,-0.853,6
-0.853,-0.851,9
-0.851,-0.849,12
-0.849,-0.847,6
-0.847,-0.845,10
-0.845,-0.843,6
-0.843,-0.841,6
-0.841,-0.839,14
-0.839,-0.837,20
-0.837,-0.835,10
-0.835,-0.833,20
-0.833,-0.831,6
-0.831,-0.829,15
-0.829,-0.827,22
-0.827,-0.825,9
-0.825,-0.823,2
-0.823,-0.821,10
-0.821,-0.819,10
-0.819,-0.817,7
-0.817,-0.815,12
-0.815,-0.813,6
-0.813,-0.811,15
-0.811,-0.809,7
-0.809,-0.807,13
-0.807,-0.805,14
-0.805,-0.803,11
-0.803,-0.801,15
-0.801,-0.799,10
-0.799,-0.797,9
-0.797,-0.795,11
-0.795,-0.793,6
-0.793,-0.791,5
-0.791,-0.789,8
-0.789,-0.787,13
-0.787,-0.785,9
-0.785,-0.783,13
-0.783,-0.781,8
-0.781,-0.779,23
-0.779,-0.777,13
-0.777,-0.775,9
-0.775,-0.773,11
-0.773,-0.771,12
-0.771,-0.769,12
-0.769,-0.767,6
-0.767,-0.765,10
-0.765,-0.763,8
-0.763,-0.761,8
-0.761,-0.759,10
-0.759,-0.757,14
-0.757,-0.755,15
-0.755,-0.753,15
-0.753,-0.751,5
-0.751,-0.749,7
-0.749,-0.747,9
-0.747,-0.745,9
-0.745,-0.743,15
-0.743,-0.741,6
-0.741,-0.739,18
-0.739,-0.737,12
-0.737,-0.735,2
-0.735,-0.733,20
-0.733,-0.731,7
-0.731,-0.729,2
-0.729,-0.727,14
-0.727,-0.725,8
-0.725,-0.723,8
-0.723,-0.721,7
-0.721,-0.719,15
-0.719,-0.717,15
-0.717,-0.715,5
-0.715,-0.713,5
-0.713,-0.711,6
-0.711,-0.709,8
-0.709,-0.707,15
-0.707,-0.705,11
-0.705,-0.703,21
-0.703,-0.701,13
-0.701,-0.699,9
-0.699,-0.697,5
-0.697,-0.695,8
-0.695,-0.693,10
-0.693,-0.691,12
-0.691,-0.689,22
-0.689,-0.687,10
-0.687,-0.685,2
-0.685,-0.683,17
-0.683,-0.681,8
-0.681,-0.679,24
-0.679,-0.677,12
-0.677,-0.675,6
-0.675,-0.673,8
-0.673,-0.671,12
-0.671,-0.669,6
-0.669,-0.667,13
-0.667,-0.665,15
-0.665,-0.663,11
-0.663,-0.661,14
-0.661,-0.659,4
-0.659,-0.657,13
-0.657,-0.655,10
-0.655,-0.653,5
-0.653,-0.651,14
-0.651,-0.649,10
-0.649,-0.647,6
-0.647,-0.645,5
-0.645,-0.643,11
-0.643,-0.641,6
-0.641,-0.639,9
-0.639,-0.637,10
-0.637,-0.635,15
-0.635,-0.633,20
-0.633,-0.631,9
-0.631,-0.629,11
-0.629,-0.627,9
-0.627,-0.625,24
-0.625,-0.623,10
-0.623,-0.621,14
-0.621,-0.619,4
-0.619,-0.617,20
-0.617,-0.615,8
-0.615,-0.613,16
-0.613,-0.611,8
-0.611,-0.609,23
-0.609,-0.607,6
-0.607,-0.605,3
-0.605,-0.603,14
-0.603,-0.601,10
-0.601,-0.599,9
-0.599,-0.597,8
-0.597,-0.595,3
-0.595,-0.593,14
-0.593,-0.591,17
-0.591,-0.589,5
-0.589,-0.587,9
-0.587,-0.585,7
-0.585,-0.583,16
-0.583,-0.581,14
-0.581,-0.579,10
-0.579,-0.577,5
-0.577,-0.575,11
-0.575,-0.573,9
-0.573,-0.571,7
-0.571,-0.569,3
-0.569,-0.567,1
-0.567,-0.565,11
-0.565,-0.563,11
-0.563,-0.561,11
-0.561,-0.559,6
-0.559,-0.557,8
-0.557,-0.555,6
-0.555,-0.553,10
-0.553,-0.551,11
-0.551,-0.549,5
-0.549,-0.547,5
-0.547,-0.545,7
-0.545,-0.543,11
-0.543,-0.541,21
-0.541,-0.539,11
-0.539,-0.537,12
-0.537,-0.535,7
-0.535,-0.533,14
-0.533,-0.531,6
-0.531,-0.529,31
-0.529,-0.527,8
-0.527,-0.525,6
-0.525,-0.523,8
-0.523,-0.521,3
-0.521,-0.519,7
-0.519,-0.517,16
-0.517,-0.515,10
-0.515,-0.513,29
-0.513,-0.511,13
-0.511,-0.509,14
-0.509,-0.507,9
-0.507,-0.505,11
-0.505,-0.503,6
-0.503,-0.501,21
-0.501,-0.499,8
-0.499,-0.497,6
-0.497,-0.495,14
-0.495,-0.493,6
-0.493,-0.491,15
-0.491,-0.489,18
-0.489,-0.487,7
-0.487,-0.485,16
-0.485,-0.483,6
-0.483,-0.481,6
-0.481,-0.479,7
-0.479,-0.477,19
-0.477,-0.475,5
-0.475,-0.473,25
-0.473,-0.471,10
-0.471,-0.469,10
-0.469,-0.467,4
-0.467,-0.465,4
-0.465,-0.463,9
-0.463,-0.461,15
-0.461,-0.459,3
-0.459,-0.457,10
-0.457,-0.455,15
-0.455,-0.453,6
-0.453,-0.451,15
-0.451,-0.449,10
-0.449,-0.447,8
-0.447,-0.445,6
-0.445,-0.443,17
-0.443,-0.441,15
-0.441,-0.439,6
-0.439,-0.437,6
-0.437,-0.435,11
-0.435,-0.433,6
-0.433,-0.431,7
-0.431,-0.429,5
-0.429,-0.427,6
-0.427,-0.425,10
-0.425,-0.423,9
-0.423,-0.421,26
-0.421,-0.419,2
-0.419,-0.417,15
-0.417,-0.415,7
-0.415,-0.413,8
-0.413,-0.411,10
-0.411,-0.409,23
-0.409,-0.407,6
-0.407,-0.405,6
-0.405,-0.403,6
-0.403,-0.401,9
-0.401,-0.399,8
-0.399,-0.397,11
-0.397,-0.395,6
-0.395,-0.393,17
-0.393,-0.391,3
-0.391,-0.389,7
-0.389,-0.387,8
-0.387,-0.385,7
-0.385,-0.383,13
-0.383,-0.381,13
-0.381,-0.379,10
-0.379,-0.377,11
-0.377,-0.375,4
-0.375,-0.373,12
-0.373,-0.371,2
-0.371,-0.369,12
-0.369,-0.367,8
-0.367,-0.365,5
-0.365,-0.363,13
-0.363,-0.361,8
-0.361,-0.359,4
-0.359,-0.357,11
-0.357,-0.355,14
-0.355,-0.353,14
-0.353,-0.351,8
-0.351,-0.349,3
-0.349,-0.347,6
-0.347,-0.345,5
-0.345,-0.343,15
-0.343,-0.341,11
-0.341,-0.339,10
-0.339,-0.337,8
-0.337,-0.335,14
-0.335,-0.333,9
-0.333,-0.331,13
-0.331,-0.329,7
-0.329,-0.327,17
-0.327,-0.325,9
-0.325,-0.323,12
-0.323,-0.321,13
-0.321,-0.319,13
-0.319,-0.317,7
-0.317,-0.315,7
-0.315,-0.313,20
-0.313,-0.311,18
-0.311,-0.309,8
-0.309,-0.307,8
-0.307,-0.305,17
-0.305,-0.303,9
-0.303,-0.301,14
-0.301,-0.299,12
-0.299,-0.297,7
-0.297,-0.295,7
-0.295,-0.293,8
-0.293,-0.291,14
-0.291,-0.289,11
-0.289,-0.287,17
-0.287,-0.285,8
-0.285,-0.283,14
-0.283,-0.281,33
-0.281,-0.279,15
-0.279,-0.277,8
-0.277,-0.275,11
-0.275,-0.273,12
-0.273,-0.271,8
-0.271,-0.269,5
-0.269,-0.267,1
-0.267,-0.265,16
-0.265,-0.263,3
-0.263,-0.261,4
-0.261,-0.259,15
-0.259,-0.257,11
-0.257,-0.255,13
-0.255,-0.253,8
-0.253,-0.251,10
-0.251,-0.249,6
-0.249,-0.247,19
-0.247,-0.245,5
-0.245,-0.243,8
-0.243,-0.241,22
-0.241,-0.239,8
-0.239,-0.237,8
-0.237,-0.235,7
-0.235,-0.233,3
-0.233,-0.231,6
-0.231,-0.229,17
-0.229,-0.227,9
-0.227,-0.225,11
-0.225,-0.223,11
-0.223,-0.221,4
-0.221,-0.219,11
-0.219,-0.217,12
-0.217,-0.215,8
-0.215,-0.213,7
-0.213,-0.211,16
-0.211,-0.209,24
-0.209,-0.207,9
-0.207,-0.205,6
-0.205,-0.203,17
-0.203,-0.201,9
-0.201,-0.199,16
-0.199,-0.197,6
-0.197,-0.195,9
-0.195,-0.193,7
-0.193,-0.191,12
-0.191,-0.189,7
-0.189,-0.187,8
-0.187,-0.185,11
-0.185,-0.183,7
-0.183,-0.181,5
-0.181,-0.179,22
-0.179,-0.177,9
-0.177,-0.175,16
-0.175,-0.173,6
-0.173,-0.171,20
-0.171,-0.169,11
-0.169,-0.167,7
-0.167,-0.165,4
-0.165,-0.163,16
-0.163,-0.161,12
-0.161,-0.159,12
-0.159,-0.157,14
-0.157,-0.155,21
-0.155,-0.153,13
-0.153,-0.151,7
-0.151,-0.149,5
-0.149,-0.147,3
-0.147,-0.145,7
-0.145,-0.143,19
-0.143,-0.141,9
-0.141,-0.139,7
-0.139,-0.137,12
-0.137,-0.135,4
-0.135,-0.133,9
-0.133,-0.131,7
-0.131,-0.129,10
-0.129,-0.127,22
-0.127,-0.125,5
-0.125,-0.123,8
-0.123,-0.121,11
-0.121,-0.119,15
-0.119,-0.117,9
-0.117,-0.115,13
-0.115,-0.113,35
-0.113,-0.111,12
-0.111,-0.109,6
-0.109,-0.107,16
-0.107,-0.105,15
-0.105,-0.103,12
-0.103,-0.101,6
-0.101,-0.099,10
-0.099,-0.097,16
-0.097,-0.095,12
-0.095,-0.093,18
-0.093,-0.091,11
-0.091,-0.089,13
-0.089,-0.087,23
-0.087,-0.085,8
-0.085,-0.083,7
-0.083,-0.081,10
-0.081,-0.079,12
-0.079,-0.077,13
-0.077,-0.075,13
-0.075,-0.073,14
-0.073,-0.071,17
-0.071,-0.069,15
-0.069,-0.067,12
-0.067,-0.065,4
-0.065,-0.063,13
-0.063,-0.061,13
-0.061,-0.059,10
-0.059,-0.057,28
-0.057,-0.055,8
-0.055,-0.053,10
-0.053,-0.051,23
-0.051,-0.049,13
-0.049,-0.047,21
-0.047,-0.045,15
-0.045,-0.043,6
-0.043,-0.041,17
-0.041,-0.039,8
-0.039,-0.037,23
-0.037,-0.035,12
-0.035,-0.033,10
-0.033,-0.031,17
-0.031,-0.029,15
-0.029,-0.027,7
-0.027,-0.025,11
-0.025,-0.023,10
-0.023,-0.021,5
-0.021,-0.019,11
-0.019,-0.017,13
-0.017,-0.015,34
-0.015,-0.013,16
-0.013,-0.011,25
-0.011,-0.009,11
-0.009,-0.007,13
-0.007,-0.005,12
-0.005,-0.003,8
-0.003,-0.001,13
-0.001,0.001,10
0.001,0.003,22
0.003,0.005,11
0.005,0.007,20
0.007,0.009,11
0.009,0.011,22
0.011,0.013,8
0.013,0.015,17
0.015,0.017,11
0.017,0.019,10
0.019,0.021,9
0.021,0.023,16
0.023,0.025,14
0.025,0.027,21
0.027,0.029,25
0.029,0.031,3
0.031,0.033,10
0.033,0.035,4
0.035,0.037,16
0.037,0.039,18
0.039,0.041,6
0.041,0.043,9
0.043,0.045,4
0.045,0.047,9
0.047,0.049,13
0.049,0.051,5
0.051,0.053,20
0.053,0.055,8
0.055,0.057,23
0.057,0.059,21
0.059,0.061,27
0.061,0.063,21
0.063,0.065,20
0.065,0.067,18
0.067,0.069,13
0.069,0.071,15
0.071,0.073,12
0.073,0.075,15
0.075,0.077,10
0.077,0.079,19
0.079,0.081,14
0.081,0.083,17
0.083,0.085,12
0.085,0.087,17
0.087,0.089,6
0.089,0.091,22
0.091,0.093,23
0.093,0.095,10
0.095,0.097,14
0.097,0.099,10
0.099,0.101,31
0.101,0.103,18
0.103,0.105,27
0.105,0.107,19
0.107,0.109,15
0.109,0.111,19
0.111,0.113,20
0.113,0.115,20
0.115,0.117,15
0.117,0.119,12
0.119,0.121,19
0.121,0.123,14
0.123,0.125,11
0.125,0.127,10
0.127,0.129,23
0.129,0.131,15
0.131,0.133,16
0.133,0.135,17
0.135,0.137,30
0.137,0.139,15
0.139,0.141,21
0.141,0.143,19
0.143,0.145,18
0.145,0.147,17
0.147,0.149,31
0.149,0.151,20
0.151,0.153,17
0.153,0.155,13
0.155,0.157,17
0.157,0.159,34
0.159,0.161,29
0.161,0.163,14
0.163,0.165,10
0.165,0.167,24
0.167,0.169,19
0.169,0.171,23
0.171,0.173,35
0.173,0.175,29
0.175,0.177,24
0.177,0.179,24
0.179,0.181,11
0.181,0.183,17
0.183,0.185,16
0.185,0.187,21
0.187,0.189,19
0.189,0.191,10
0.191,0.193,12
0.193,0.195,20
0.195,0.197,20
0.197,0.199,26
0.199,0.201,18
0.201,0.203,32
0.203,0.205,17
0.205,0.207,28
0.207,0.209,11
0.209,0.211,28
0.211,0.213,20
0.213,0.215,27
0.215,0.217,22
0.217,0.219,22
0.219,0.221,18
0.221,0.223,29
0.223,0.225,16
0.225,0.227,25
0.227,0.229,14
0.229,0.231,17
0.231,0.233,17
0.233,0.235,16
0.235,0.237,29
0.237,0.239,32
0.239,0.241,26
0.241,0.243,18
0.243,0.245,20
0.245,0.247,21
0.247,0.249,33
0.249,0.251,18
0.251,0.253,24
0.253,0.255,22
0.255,0.257,19
0.257,0.259,24
0.259,0.261,23
0.261,0.263,24
0.263,0.265,32
0.265,0.267,21
0.267,0.269,16
0.269,0.271,22
0.271,0.273,30
0.273,0.275,21
0.275,0.277,18
0.277,0.279,5
0.279,0.281,23
0.281,0.283,26
0.283,0.285,25
0.285,0.287,20
0.287,0.289,23
0.289,0.291,19
0.291,0.293,25
0.293,0.295,34
0.295,0.297,21
0.297,0.299,20
0.299,0.301,24
0.301,0.303,22
0.303,0.305,16
0.305,0.307,22
0.307,0.309,22
0.309,0.311,30
0.311,0.313,35
0.313,0.315,15
0.315,0.317,21
0.317,0.319,30
0.319,0.321,30
0.321,0.323,26
0.323,0.325,22
0.325,0.327,16
0.327,0.329,21
0.329,0.331,39
0.331,0.333,30
0.333,0.335,19
0.335,0.337,21
0.337,0.339,38
0.339,0.341,26
0.341,0.343,32
0.343,0.345,31
0.345,0.347,23
0.347,0.349,22
0.349,0.351,22
0.351,0.353,33
0.353,0.355,18
0.355,0.357,22
0.357,0.359,34
0.359,0.361,28
0.361,0.363,22
0.363,0.365,20
0.365,0.367,33
0.367,0.369,23
