# bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,9.500000E-01
1.584893E+01,0.000000E+00,0.000000E+00,9.500000E-01
1.995262E+01,0.000000E+00,0.000000E+00,9.500000E-01
2.511886E+01,0.000000E+00,0.000000E+00,9.500000E-01
3.162278E+01,0.000000E+00,0.000000E+00,9.500000E-01
3.981072E+01,0.000000E+00,0.000000E+00,9.500000E-01
5.011872E+01,0.000000E+00,0.000000E+00,9.500000E-01
6.309573E+01,0.000000E+00,0.000000E+00,9.500000E-01
7.943282E+01,0.000000E+00,0.000000E+00,9.500000E-01
1.000000E+02,0.000000E+00,0.000000E+00,9.500000E-01
1.258925E+02,0.000000E+00,0.000000E+00,9.500000E-01
1.584893E+02,0.000000E+00,0.000000E+00,9.500000E-01
1.995262E+02,0.000000E+00,0.000000E+00,9.500000E-01
2.511886E+02,5.200000E+01,7.211103E+00,9.500000E-01
3.162278E+02,1.550000E+02,1.244990E+01,9.500000E-01
3.981072E+02,4.640000E+02,2.154066E+01,9.500000E-01
5.011872E+02,1.056000E+03,3.249615E+01,9.500000E-01
6.309573E+02,8.120000E+02,2.849561E+01,9.500000E-01
7.943282E+02,5.000000E+02,2.236068E+01,9.500000E-01
1.000000E+03,5.700000E+02,2.387467E+01,9.500000E-01
1.258925E+03,5.270000E+02,2.295648E+01,9.500000E-01
1.584893E+03,4.500000E+02,2.121320E+01,9.500000E-01
1.995262E+03,4.160000E+02,2.039608E+01,9.500000E-01
2.511886E+03,3.360000E+02,1.833030E+01,9.500000E-01
3.162278E+03,2.850000E+02,1.688194E+01,9.500000E-01
3.981072E+03,2.240000E+02,1.496663E+01,9.500000E-01
5.011872E+03,2.210000E+02,1.486607E+01,9.500000E-01
6.309573E+03,1.880000E+02,1.371131E+01,9.500000E-01
7.943282E+03,1.350000E+02,1.161895E+01,9.500000E-01
1.000000E+04,1.330000E+02,1.153256E+01,9.500000E-01
1.258925E+04,1.320000E+02,1.148913E+01,9.500000E-01
1.584893E+04,1.080000E+02,1.039230E+01,9.500000E-01
1.995262E+04,1.180000E+02,1.086278E+01,9.500000E-01
2.511886E+04,2.420000E+02,1.555635E+01,9.500000E-01
3.162278E+04,1.402000E+03,3.744329E+01,9.500000E-01
3.981072E+04,6.720000E+02,2.592296E+01,9.500000E-01
5.011872E+04,6.000000E+00,2.449490E+00,9.500000E-01
6.309573E+04,0.000000E+00,0.000000E+00,9.500000E-01
7.943282E+04,0.000000E+00,0.000000E+00,9.500000E-01
1.000000E+05,0.000000E+00,0.000000E+00,9.500000E-01
