# bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.584893E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.995262E+01,0.000000E+00,0.000000E+00,6.400000E-02
2.511886E+01,0.000000E+00,0.000000E+00,6.400000E-02
3.162278E+01,0.000000E+00,0.000000E+00,6.400000E-02
3.981072E+01,0.000000E+00,0.000000E+00,6.400000E-02
5.011872E+01,0.000000E+00,0.000000E+00,6.400000E-02
6.309573E+01,0.000000E+00,0.000000E+00,6.400000E-02
7.943282E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.000000E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.258925E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.584893E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.995262E+02,0.000000E+00,0.000000E+00,6.400000E-02
2.511886E+02,5.000000E+00,2.236068E+00,6.400000E-02
3.162278E+02,1.300000E+01,3.605551E+00,6.400000E-02
3.981072E+02,3.700000E+01,6.082763E+00,6.400000E-02
5.011872E+02,8.100000E+01,9.000000E+00,6.400000E-02
6.309573E+02,8.800000E+01,9.380832E+00,6.400000E-02
7.943282E+02,4.300000E+01,6.557439E+00,6.400000E-02
1.000000E+03,4.500000E+01,6.708204E+00,6.400000E-02
1.258925E+03,4.300000E+01,6.557439E+00,6.400000E-02
1.584893E+03,3.400000E+01,5.830952E+00,6.400000E-02
1.995262E+03,2.900000E+01,5.385165E+00,6.400000E-02
2.511886E+03,3.100000E+01,5.567764E+00,6.400000E-02
3.162278E+03,2.200000E+01,4.690416E+00,6.400000E-02
3.981072E+03,2.000000E+01,4.472136E+00,6.400000E-02
5.011872E+03,2.100000E+01,4.582576E+00,6.400000E-02
6.309573E+03,1.500000E+01,3.872983E+00,6.400000E-02
7.943282E+03,1.100000E+01,3.316625E+00,6.400000E-02
1.000000E+04,1.400000E+01,3.741657E+00,6.400000E-02
1.258925E+04,7.000000E+00,2.645751E+00,6.400000E-02
1.584893E+04,1.200000E+01,3.464102E+00,6.400000E-02
1.995262E+04,9.000000E+00,3.000000E+00,6.400000E-02
2.511886E+04,1.200000E+01,3.464102E+00,6.400000E-02
3.162278E+04,1.400000E+02,1.183216E+01,6.400000E-02
3.981072E+04,6.700000E+01,8.185353E+00,6.400000E-02
5.011872E+04,0.000000E+00,0.000000E+00,6.400000E-02
6.309573E+04,0.000000E+00,0.000000E+00,6.400000E-02
7.943282E+04,0.000000E+00,0.000000E+00,6.400000E-02
1.000000E+05,0.000000E+00,0.000000E+00,6.400000E-02
