# bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.584893E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.995262E+01,0.000000E+00,0.000000E+00,6.400000E-02
2.511886E+01,0.000000E+00,0.000000E+00,6.400000E-02
3.162278E+01,0.000000E+00,0.000000E+00,6.400000E-02
3.981072E+01,0.000000E+00,0.000000E+00,6.400000E-02
5.011872E+01,0.000000E+00,0.000000E+00,6.400000E-02
6.309573E+01,0.000000E+00,0.000000E+00,6.400000E-02
7.943282E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.000000E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.258925E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.584893E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.995262E+02,0.000000E+00,0.000000E+00,6.400000E-02
2.511886E+02,1.000000E+00,1.000000E+00,6.400000E-02
3.162278E+02,2.400000E+01,4.898979E+00,6.400000E-02
3.981072E+02,3.500000E+01,5.916080E+00,6.400000E-02
5.011872E+02,1.070000E+02,1.034408E+01,6.400000E-02
6.309573E+02,8.700000E+01,9.327379E+00,6.400000E-02
7.943282E+02,7.400000E+01,8.602325E+00,6.400000E-02
1.000000E+03,5.600000E+01,7.483315E+00,6.400000E-02
1.258925E+03,5.100000E+01,7.141428E+00,6.400000E-02
1.584893E+03,3.200000E+01,5.656854E+00,6.400000E-02
1.995262E+03,1.700000E+01,4.123106E+00,6.400000E-02
2.511886E+03,1.400000E+01,3.741657E+00,6.400000E-02
3.162278E+03,9.000000E+00,3.000000E+00,6.400000E-02
3.981072E+03,9.000000E+00,3.000000E+00,6.400000E-02
5.011872E+03,3.000000E+00,1.732051E+00,6.400000E-02
6.309573E+03,6.000000E+00,2.449490E+00,6.400000E-02
7.943282E+03,3.000000E+00,1.732051E+00,6.400000E-02
1.000000E+04,0.000000E+00,0.000000E+00,6.400000E-02
1.258925E+04,4.000000E+00,2.000000E+00,6.400000E-02
1.584893E+04,4.000000E+00,2.000000E+00,6.400000E-02
1.995262E+04,2.000000E+00,1.414214E+00,6.400000E-02
2.511886E+04,1.000000E+00,1.000000E+00,6.400000E-02
3.162278E+04,9.000000E+00,3.000000E+00,6.400000E-02
3.981072E+04,3.000000E+00,1.732051E+00,6.400000E-02
5.011872E+04,0.000000E+00,0.000000E+00,6.400000E-02
6.309573E+04,0.000000E+00,0.000000E+00,6.400000E-02
7.943282E+04,0.000000E+00,0.000000E+00,6.400000E-02
1.000000E+05,0.000000E+00,0.000000E+00,6.400000E-02
