# bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,9.000000E-01
1.584893E+01,0.000000E+00,0.000000E+00,9.000000E-01
1.995262E+01,0.000000E+00,0.000000E+00,9.000000E-01
2.511886E+01,0.000000E+00,0.000000E+00,9.000000E-01
3.162278E+01,0.000000E+00,0.000000E+00,9.000000E-01
3.981072E+01,0.000000E+00,0.000000E+00,9.000000E-01
5.011872E+01,0.000000E+00,0.000000E+00,9.000000E-01
6.309573E+01,0.000000E+00,0.000000E+00,9.000000E-01
7.943282E+01,0.000000E+00,0.000000E+00,9.000000E-01
1.000000E+02,0.000000E+00,0.000000E+00,9.000000E-01
1.258925E+02,0.000000E+00,0.000000E+00,9.000000E-01
1.584893E+02,0.000000E+00,0.000000E+00,9.000000E-01
1.995262E+02,0.000000E+00,0.000000E+00,9.000000E-01
2.511886E+02,2.000000E+00,1.414214E+00,9.000000E-01
3.162278E+02,7.400000E+01,8.602325E+00,9.000000E-01
3.981072E+02,8.700000E+01,9.327379E+00,9.000000E-01
5.011872E+02,3.020000E+02,1.737815E+01,9.000000E-01
6.309573E+02,2.520000E+02,1.587451E+01,9.000000E-01
7.943282E+02,1.420000E+02,1.191638E+01,9.000000E-01
1.000000E+03,1.640000E+02,1.280625E+01,9.000000E-01
1.258925E+03,1.540000E+02,1.240967E+01,9.000000E-01
1.584893E+03,1.320000E+02,1.148913E+01,9.000000E-01
1.995262E+03,1.070000E+02,1.034408E+01,9.000000E-01
2.511886E+03,9.100000E+01,9.539392E+00,9.000000E-01
3.162278E+03,7.000000E+01,8.366600E+00,9.000000E-01
3.981072E+03,5.300000E+01,7.280110E+00,9.000000E-01
5.011872E+03,3.900000E+01,6.244998E+00,9.000000E-01
6.309573E+03,4.000000E+01,6.324555E+00,9.000000E-01
7.943282E+03,3.900000E+01,6.244998E+00,9.000000E-01
1.000000E+04,2.700000E+01,5.196152E+00,9.000000E-01
1.258925E+04,3.500000E+01,5.916080E+00,9.000000E-01
1.584893E+04,4.100000E+01,6.403124E+00,9.000000E-01
1.995262E+04,3.400000E+01,5.830952E+00,9.000000E-01
2.511886E+04,4.900000E+01,7.000000E+00,9.000000E-01
3.162278E+04,2.190000E+02,1.479865E+01,9.000000E-01
3.981072E+04,1.060000E+02,1.029563E+01,9.000000E-01
5.011872E+04,2.000000E+00,1.414214E+00,9.000000E-01
6.309573E+04,0.000000E+00,0.000000E+00,9.000000E-01
7.943282E+04,0.000000E+00,0.000000E+00,9.000000E-01
1.000000E+05,0.000000E+00,0.000000E+00,9.000000E-01
