tus,dau,det,typ,erg,adr,keV,st,dt,flag
0.768216,1,1,0,629,1,7317.3959,21.0,0.0,False
0.768216,2,2,0,1666,5,31343.0261,23.53721046447754,216.0,False
0.768376,4,2,0,1300,11,24391.2908,22.513032913208008,160.0,False
0.770616,1,1,0,177,1,1685.5238,6.656126976013184,2400.0,False
0.771066,4,2,0,110,11,1856.9034,4.427613735198975,2690.0,False
0.77139,1,2,0,125,2,2720.7885,3.0,3174.0,False
0.771874,3,2,0,38,8,1115.0132,1.0766754150390625,2833.0,False
0.771878,4,3,0,40,12,583.3504,1.166700839996338,2234.0,False
0.772009,1,1,0,1305,1,19742.7937,21.0,1393.0,False
0.772009,1,2,0,39,2,851.8964,1.7037928104400635,619.0,False
0.772075,3,3,0,19,9,501.191,0.0023819999769330025,1816.0,False
0.772281,2,2,0,1671,5,31468.4968,23.587398529052734,4065.0,False
0.772281,2,3,0,432,6,4396.3153,16.58526039123535,2295.0,False
0.7723559999999999,3,3,0,18,9,474.2721,0.0,281.0,False
0.772794,1,3,0,149,3,1787.788,6.050384044647217,4578.0,False
0.772891,4,3,0,1701,12,28628.6561,23.902925491333008,1013.0,False
0.773142,1,3,0,1342,3,19825.5352,21.0,348.0,False
0.7732979999999999,4,2,0,171,11,2940.6791,8.762716293334961,2232.0,False
0.773417,1,1,0,30,1,316.1096,0.0,1408.0,False
0.774072,3,3,0,72,9,1913.4234,1.6089489459991455,1716.0,False
0.774072,1,3,0,639,3,8337.3103,19.66984748840332,930.0,False
0.774072,1,1,0,896,1,11651.8539,21.0,655.0,False
0.774193,3,1,0,156,7,3950.0793,4.900158405303955,2225.0,False
0.774542,1,1,0,1801,1,31910.9604,25.76438331604004,470.0,False
0.774577,1,1,0,27,1,290.5244,0.0,35.0,False
0.77477,1,1,0,1722,1,29799.9676,25.0,193.0,False
0.77477,3,3,0,1287,9,26500.3517,19.0,698.0,False
0.774771,3,2,0,32,8,935.2342,0.8704683780670166,2897.0,False
0.775017,1,2,0,806,2,16076.0947,17.430437088012695,3008.0,False
0.775017,1,3,0,1651,3,25655.0186,23.0,945.0,False
0.7750509999999999,4,2,0,244,11,4247.7909,13.0,1753.0,False
0.7750509999999999,1,3,0,57,3,691.6205,2.532963991165161,34.0,False
0.7750509999999999,2,1,0,1825,4,34035.3145,26.614126205444336,2993.0,False
0.77516,4,1,0,32,10,481.2877,0.8128769993782043,505.0,False
0.775813,2,2,0,120,5,1596.9596,5.989865303039551,3532.0,False
0.775928,1,3,0,40,3,493.6892,0.9368919730186462,877.0,False
0.77595,3,3,0,55,9,1463.5369,1.3090245723724365,1180.0,False
0.776092,3,1,0,50,7,1287.8198,1.3837597370147705,1899.0,False
0.776092,4,2,0,59,11,956.7134,0.9134268164634705,1041.0,False
0.776092,1,3,0,44,3,540.1316,1.3210527896881104,164.0,False
0.776092,3,3,0,1631,9,30750.6128,19.60049057006836,142.0,False
0.776092,3,2,0,1701,8,31703.6565,21.044387817382812,1321.0,False
0.776092,1,1,0,1868,1,33752.6417,26.501056671142578,1322.0,False
0.776092,1,2,0,210,2,4527.7746,7.111098289489746,1075.0,False
0.776192,4,3,0,33,12,485.6029,0.8560289740562439,3301.0,False
0.776192,4,2,0,675,11,12190.1658,20.752132415771484,100.0,False
0.776192,4,1,0,615,10,9502.6117,18.602088928222656,1032.0,False
0.7764679999999999,3,3,0,705,9,16585.2019,17.0,376.0,False
0.7764679999999999,3,2,0,98,8,2885.3521,2.0,376.0,False
0.776871,3,1,0,1592,7,30220.045,19.176036834716797,779.0,False
0.776941,2,1,0,1726,4,31150.4644,25.460186004638672,1890.0,False
0.776941,1,3,0,1557,3,23831.2445,22.06499481201172,849.0,False
0.777071,1,1,0,122,1,1146.598,3.781856060028076,979.0,False
0.777766,1,1,0,1774,1,31182.1122,25.47284507751465,695.0,False
0.777767,1,2,0,23,2,499.6847,0.9968469738960266,1672.0,False
0.77791,3,2,0,1651,8,31343.0397,20.611648559570312,1442.0,False
0.77791,1,2,0,193,2,4169.5726,5.678290367126465,143.0,False
0.77791,4,1,0,1658,10,28909.9953,23.0,1718.0,False
0.77791,3,3,0,1684,9,31299.0872,20.039270401000977,1442.0,False
0.77791,3,1,0,1431,7,28182.8721,19.0,1039.0,False
0.778374,4,1,0,31,10,466.9391,0.6693909764289856,464.0,False
0.778608,1,1,0,118,1,1108.6422,3.579425096511841,842.0,False
0.778785,2,3,0,43,6,523.3749,1.2337490320205688,6504.0,False
0.778785,2,2,0,90,5,1198.1744,4.660581111907959,2972.0,False
0.778967,2,1,0,1192,4,17651.692,23.0,2026.0,False
0.778967,4,2,0,1726,11,33171.4217,25.537137985229492,2775.0,False
0.778967,2,3,0,59,6,643.8156,2.4381558895111084,182.0,False
0.778967,4,1,0,1768,10,31201.1965,23.480478286743164,593.0,False
0.778967,2,2,0,142,5,1893.7195,6.97906494140625,182.0,False
0.779085,2,1,0,49,4,450.7993,1.0159859657287598,118.0,False
0.779085,2,3,0,120,6,1133.5778,6.4452595710754395,118.0,False
0.779192,4,2,0,221,11,3834.7697,12.339078903198242,225.0,False
0.779247,3,2,0,52,8,1532.5565,1.3550376892089844,1337.0,False
0.780044,1,1,0,42,1,419.3951,0.19395099580287933,1436.0,False
0.78026,3,3,0,605,9,14536.8169,17.0,2350.0,False
0.780347,1,2,0,37,2,807.9473,1.6158945560455322,2437.0,False
