|name        |t90     |flnc_band_epeak|flnc_band_alpha|flnc_band_beta|
|GRB120403857|   4.288|   1.928073e+02|  -9.469590e-01| -3.722981e+00|
|GRB120227725|  17.408|   1.288301e+02|  -8.071501e-01| -2.556083e+00|
|GRB141205018|  13.056|   2.261430e+02|  -3.056635e-01| -8.371213e+00|
|GRB180630467|  12.032|   5.801395e+01|  -1.077285e+00| -2.338689e+00|
|GRB170116238|   9.216|   1.849115e+02|  -1.313029e+00| -1.060694e+01|
|GRB091026550|   8.960|   5.374086e+02|  -1.349118e+00| -2.216305e+00|
|GRB150312403|   0.320|   3.043298e+02|  -4.893708e-01| -2.328306e+01|
|GRB110520302|  12.288|   3.000164e+02|  -8.883432e-01| -1.321839e+01|
|GRB121216419|   9.216|   4.221363e+02|  -1.117029e+00| -2.621230e+00|
|GRB200107810|  81.154|               |               |              |
|GRB101227195|  95.488|   2.335599e+02|  -1.024361e+00| -1.032221e+01|
|GRB220430900|  30.464|               |               |              |
|GRB200607921|  26.625|               |               |              |
|GRB160326062|  19.456|   8.567922e+01|  -1.018042e+00| -1.872737e+00|
|GRB220413167|   0.512|               |               |              |
|GRB210411564|  47.873|               |               |              |
|GRB101116481|   0.576|   4.697846e+02|  -1.570189e-01| -7.646423e+00|
|GRB220921473|  44.288|               |               |              |
|GRB170130697|  29.184|   1.887626e+02|  -1.249942e+00| -1.884548e+00|
|GRB190304818|   2.880|               |               |              |
|GRB110205027|   5.376|   2.265037e+02|   2.028974e+00| -2.425619e+00|
|GRB110825265|  48.128|   1.305495e+02|  -1.209682e+00| -6.406403e+00|
|GRB160919613|  62.465|   7.479258e+01|  -9.664568e-01| -3.493683e+00|
|GRB120830212|  16.064|   2.066716e+02|  -7.385905e-01| -2.908419e+00|
|GRB140323433| 111.426|   1.432164e+02|  -1.041237e+00| -5.704211e+00|
|GRB220415645|  23.040|               |               |              |
|GRB181007737|  23.552|               |               |              |
|GRB190825171|  12.032|               |               |              |
|GRB100325246|   8.192|   3.498019e+01|  -6.888088e-01| -2.467626e+00|
|GRB100507577|  44.033|   1.336812e+02|   4.626522e-01| -3.466067e+00|
|GRB200907957| 140.803|               |               |              |
|GRB080714425|  40.192|   3.365375e+01|  -2.216957e-01| -1.756066e+00|
|GRB171206122|  15.360|   6.299004e+02|  -1.292658e+00| -6.331875e+00|
|GRB140518709|   0.704|   1.829023e+02|   2.663325e+01| -1.975177e+00|
|GRB130623488|  22.272|   2.806861e+01|  -1.095303e+00| -2.362571e+00|
|GRB141004150|   9.472|   6.424924e+01|  -1.902409e-01| -2.703824e+00|
|GRB101024486|  20.224|   7.194263e+01|   1.399967e-01| -2.382963e+00|
|GRB200119692|  19.200|               |               |              |
|GRB210919653|   1.600|               |               |              |
|GRB210826293|  19.712|               |               |              |
|GRB190628521|  19.200|               |               |              |
|GRB190422284|  80.386|               |               |              |
|GRB110716018|   7.168|   8.781333e+01|  -6.814405e-01| -3.023016e+00|
|GRB220315101|   0.768|               |               |              |
|GRB110819665|  16.384|   4.608799e+01|   1.249307e+00| -2.112595e+00|
|GRB190731943|  15.872|               |               |              |
|GRB221203537|   3.520|               |               |              |
|GRB090810659| 125.182|   3.857966e+01|  -8.281847e-01| -2.364005e+00|
